State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Pecos,49,-103.059477,31.282198 -103.059477,31.276833 -103.071692,31.276833 -103.071692,31.282198 -103.059477,31.282198
TX,Pecos,50,-103.071692,31.276833 -103.065584,31.276833 -103.065584,31.266102 -103.071692,31.266102 -103.071692,31.276833
TX,Pecos,51,-103.065584,31.276833 -103.059477,31.276833 -103.059477,31.266102 -103.065584,31.266102 -103.065584,31.276833
TX,Pecos,52,-103.049298,31.295075 -103.049298,31.288636 -103.059477,31.288636 -103.059477,31.295075 -103.049298,31.295075
TX,Pecos,53,-103.049298,31.288636 -103.049298,31.282198 -103.059477,31.282198 -103.059477,31.288636 -103.049298,31.288636
TX,Pecos,54,-103.039118,31.295075 -103.039118,31.288636 -103.049298,31.288636 -103.049298,31.295075 -103.039118,31.295075
TX,Pecos,55,-103.039118,31.288636 -103.039118,31.282198 -103.049298,31.282198 -103.049298,31.288636 -103.039118,31.288636
TX,Pecos,56,-103.051333,31.282198 -103.051333,31.27415 -103.059477,31.27415 -103.059477,31.282198 -103.051333,31.282198
TX,Pecos,57,-103.051333,31.27415 -103.051333,31.266102 -103.059477,31.266102 -103.059477,31.27415 -103.051333,31.27415
TX,Pecos,58,-103.039118,31.282198 -103.039118,31.276833 -103.051333,31.276833 -103.051333,31.282198 -103.039118,31.282198
TX,Pecos,59,-103.051333,31.276833 -103.045226,31.276833 -103.045226,31.266102 -103.051333,31.266102 -103.051333,31.276833
TX,Pecos,60,-103.045226,31.276833 -103.039118,31.276833 -103.039118,31.266102 -103.045226,31.266102 -103.045226,31.276833
TX,Pecos,61,-103.028939,31.295075 -103.028939,31.288636 -103.039118,31.288636 -103.039118,31.295075 -103.028939,31.295075
TX,Pecos,62,-103.028939,31.288636 -103.028939,31.282198 -103.039118,31.282198 -103.039118,31.288636 -103.028939,31.288636
TX,Pecos,63,-103.01876,31.295075 -103.01876,31.288636 -103.028939,31.288636 -103.028939,31.295075 -103.01876,31.295075
TX,Pecos,64,-103.01876,31.288636 -103.01876,31.282198 -103.028939,31.282198 -103.028939,31.288636 -103.01876,31.288636
TX,Pecos,65,-103.030975,31.282198 -103.030975,31.27415 -103.039118,31.27415 -103.039118,31.282198 -103.030975,31.282198
TX,Pecos,66,-103.030975,31.27415 -103.030975,31.266102 -103.039118,31.266102 -103.039118,31.27415 -103.030975,31.27415
TX,Pecos,67,-103.01876,31.282198 -103.01876,31.276833 -103.030975,31.276833 -103.030975,31.282198 -103.01876,31.282198
TX,Pecos,68,-103.030975,31.276833 -103.024868,31.276833 -103.024868,31.266102 -103.030975,31.266102 -103.030975,31.276833
TX,Pecos,69,-103.024868,31.276833 -103.01876,31.276833 -103.01876,31.266102 -103.024868,31.266102 -103.024868,31.276833
TX,Pecos,70,-103.118614,31.258996 -103.118614,31.247269 -103.12979,31.247269 -103.118614,31.258996
TX,Pecos,71,-103.118614,31.247269 -103.118614,31.242411 -103.134419,31.242411 -103.12979,31.247269 -103.118614,31.247269
TX,Pecos,72,-103.140966,31.235541 -103.134419,31.242411 -103.128153,31.242411 -103.128153,31.235541 -103.140966,31.235541
TX,Pecos,73,-103.128153,31.242411 -103.118614,31.242411 -103.118614,31.235541 -103.128153,31.235541 -103.128153,31.242411
TX,Pecos,74,-103.150225,31.225825 -103.140966,31.235541 -103.13885,31.235541 -103.13885,31.225825 -103.150225,31.225825
TX,Pecos,75,-103.13885,31.235541 -103.132105,31.235541 -103.132105,31.225825 -103.13885,31.225825 -103.13885,31.235541
TX,Pecos,76,-103.132105,31.235541 -103.125359,31.235541 -103.125359,31.225825 -103.132105,31.225825 -103.132105,31.235541
TX,Pecos,77,-103.125359,31.235541 -103.118614,31.235541 -103.118614,31.225825 -103.125359,31.225825 -103.125359,31.235541
TX,Pecos,78,-103.118614,31.258996 -103.118599,31.259012 -103.111807,31.266102 -103.109804,31.266102 -103.109804,31.255918 -103.118614,31.255918 -103.118614,31.258996
TX,Pecos,79,-103.109804,31.266102 -103.10337,31.266102 -103.10337,31.255918 -103.109804,31.255918 -103.109804,31.266102
TX,Pecos,80,-103.118614,31.255918 -103.110992,31.255918 -103.110992,31.24732 -103.118614,31.24732 -103.118614,31.255918
