State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Comal,50,-98.491839,29.848712 -98.48435,29.848712 -98.48435,29.839958 -98.491839,29.839958 -98.491839,29.848712
TX,Comal,51,-98.48435,29.848712 -98.476862,29.848712 -98.476862,29.839958 -98.48435,29.839958 -98.48435,29.848712
TX,Comal,52,-98.491839,29.839958 -98.48435,29.839958 -98.48435,29.831203 -98.491839,29.831203 -98.491839,29.839958
TX,Comal,53,-98.48435,29.839958 -98.476862,29.839958 -98.476862,29.831203 -98.48435,29.831203 -98.48435,29.839958
TX,Comal,54,-98.476862,29.848712 -98.469373,29.848712 -98.469373,29.839958 -98.476862,29.839958 -98.476862,29.848712
TX,Comal,55,-98.469373,29.848712 -98.461884,29.848712 -98.461884,29.839958 -98.469373,29.839958 -98.469373,29.848712
TX,Comal,56,-98.476862,29.839958 -98.469373,29.839958 -98.469373,29.831203 -98.476862,29.831203 -98.476862,29.839958
TX,Comal,57,-98.469373,29.839958 -98.461884,29.839958 -98.461884,29.831203 -98.469373,29.831203 -98.469373,29.839958
TX,Comal,58,-98.491839,29.831203 -98.485183,29.831203 -98.485183,29.821353 -98.491839,29.821353 -98.491839,29.831203
TX,Comal,59,-98.485183,29.831203 -98.478526,29.831203 -98.478526,29.821353 -98.485183,29.821353 -98.485183,29.831203
TX,Comal,60,-98.491839,29.821353 -98.485183,29.821353 -98.485183,29.811504 -98.491839,29.811504 -98.491839,29.821353
TX,Comal,61,-98.485183,29.821353 -98.478526,29.821353 -98.478526,29.811504 -98.485183,29.811504 -98.485183,29.821353
TX,Comal,62,-98.478526,29.831203 -98.470205,29.831203 -98.470205,29.823323 -98.478526,29.823323 -98.478526,29.831203
TX,Comal,63,-98.470205,29.831203 -98.461884,29.831203 -98.461884,29.823323 -98.470205,29.823323 -98.470205,29.831203
TX,Comal,64,-98.478526,29.823323 -98.472979,29.823323 -98.472979,29.811504 -98.478526,29.811504 -98.478526,29.823323
TX,Comal,65,-98.461884,29.823323 -98.461884,29.817413 -98.472979,29.817413 -98.472979,29.823323 -98.461884,29.823323
TX,Comal,66,-98.461884,29.817413 -98.461884,29.811504 -98.472979,29.811504 -98.472979,29.817413 -98.461884,29.817413
TX,Comal,67,-98.454826,29.902504 -98.445793,29.910212 -98.442434,29.913108 -98.442434,29.902504 -98.454826,29.902504
TX,Comal,68,-98.442434,29.913108 -98.437316,29.91752 -98.437316,29.902504 -98.442434,29.902504 -98.442434,29.913108
TX,Comal,69,-98.430084,29.923754 -98.430084,29.911571 -98.437316,29.911571 -98.437316,29.91752 -98.430084,29.923754
TX,Comal,70,-98.430084,29.911571 -98.430084,29.902504 -98.437316,29.902504 -98.437316,29.911571 -98.430084,29.911571
TX,Comal,71,-98.419863,29.932567 -98.419863,29.921746 -98.430084,29.921746 -98.430084,29.923754 -98.419863,29.932567
TX,Comal,72,-98.419863,29.921746 -98.419863,29.915332 -98.430084,29.915332 -98.430084,29.921746 -98.419863,29.921746
TX,Comal,73,-98.419863,29.915332 -98.419863,29.908918 -98.430084,29.908918 -98.430084,29.915332 -98.419863,29.915332
TX,Comal,74,-98.419863,29.908918 -98.419863,29.902504 -98.430084,29.902504 -98.430084,29.908918 -98.419863,29.908918
TX,Comal,75,-98.450151,29.902504 -98.450151,29.895104 -98.461884,29.895104 -98.461884,29.896481 -98.454826,29.902504 -98.450151,29.902504
TX,Comal,76,-98.450151,29.895104 -98.450151,29.889516 -98.461884,29.889516 -98.461884,29.895104 -98.450151,29.895104
TX,Comal,77,-98.440055,29.902504 -98.440055,29.89601 -98.450151,29.89601 -98.450151,29.902504 -98.440055,29.902504
TX,Comal,78,-98.440055,29.89601 -98.440055,29.889516 -98.450151,29.889516 -98.450151,29.89601 -98.440055,29.89601
TX,Comal,79,-98.429959,29.902504 -98.429959,29.89601 -98.440055,29.89601 -98.440055,29.902504 -98.429959,29.902504
TX,Comal,80,-98.429959,29.89601 -98.429959,29.889516 -98.440055,29.889516 -98.440055,29.89601 -98.429959,29.89601
TX,Comal,81,-98.419863,29.902504 -98.419863,29.89601 -98.429959,29.89601 -98.429959,29.902504 -98.419863,29.902504
TX,Comal,82,-98.419863,29.89601 -98.419863,29.889516 -98.429959,29.889516 -98.429959,29.89601 -98.419863,29.89601
TX,Comal,83,-98.451997,29.889516 -98.451997,29.882885 -98.461884,29.882885 -98.461884,29.889516 -98.451997,29.889516
TX,Comal,84,-98.451997,29.882885 -98.451997,29.876254 -98.461884,29.876254 -98.461884,29.882885 -98.451997,29.882885
TX,Comal,85,-98.442109,29.889516 -98.442109,29.882885 -98.451997,29.882885 -98.451997,29.889516 -98.442109,29.889516
TX,Comal,86,-98.442109,29.882885 -98.442109,29.876254 -98.451997,29.876254 -98.451997,29.882885 -98.442109,29.882885
TX,Comal,87,-98.451997,29.876254 -98.451997,29.869623 -98.461884,29.869623 -98.461884,29.876254 -98.451997,29.876254
TX,Comal,88,-98.451997,29.869623 -98.451997,29.862992 -98.461884,29.862992 -98.461884,29.869623 -98.451997,29.869623
TX,Comal,89,-98.442109,29.876254 -98.442109,29.869623 -98.451997,29.869623 -98.451997,29.876254 -98.442109,29.876254
TX,Comal,90,-98.442109,29.869623 -98.442109,29.862992 -98.451997,29.862992 -98.451997,29.869623 -98.442109,29.869623
TX,Comal,91,-98.430986,29.889516 -98.430986,29.883622 -98.442109,29.883622 -98.442109,29.889516 -98.430986,29.889516
TX,Comal,92,-98.430986,29.883622 -98.430986,29.877728 -98.442109,29.877728 -98.442109,29.883622 -98.430986,29.883622
TX,Comal,93,-98.419863,29.889516 -98.419863,29.883622 -98.430986,29.883622 -98.430986,29.889516 -98.419863,29.889516
TX,Comal,94,-98.419863,29.883622 -98.419863,29.877728 -98.430986,29.877728 -98.430986,29.883622 -98.419863,29.883622
TX,Comal,95,-98.433211,29.877728 -98.433211,29.87036 -98.442109,29.87036 -98.442109,29.877728 -98.433211,29.877728
TX,Comal,96,-98.433211,29.87036 -98.433211,29.862992 -98.442109,29.862992 -98.442109,29.87036 -98.433211,29.87036
TX,Comal,97,-98.419863,29.877728 -98.419863,29.872816 -98.433211,29.872816 -98.433211,29.877728 -98.419863,29.877728
TX,Comal,98,-98.433211,29.872816 -98.426537,29.872816 -98.426537,29.862992 -98.433211,29.862992 -98.433211,29.872816
TX,Comal,99,-98.426537,29.872816 -98.419863,29.872816 -98.419863,29.862992 -98.426537,29.862992 -98.426537,29.872816
TX,Comal,100,-98.451379,29.862992 -98.451379,29.856751 -98.461884,29.856751 -98.461884,29.862992 -98.451379,29.862992
TX,Comal,101,-98.451379,29.856751 -98.451379,29.85051 -98.461884,29.85051 -98.461884,29.856751 -98.451379,29.856751
TX,Comal,102,-98.440873,29.862992 -98.440873,29.856751 -98.451379,29.856751 -98.451379,29.862992 -98.440873,29.862992
TX,Comal,103,-98.440873,29.856751 -98.440873,29.85051 -98.451379,29.85051 -98.451379,29.856751 -98.440873,29.856751
TX,Comal,104,-98.451379,29.85051 -98.451379,29.844269 -98.461884,29.844269 -98.461884,29.85051 -98.451379,29.85051
TX,Comal,105,-98.451379,29.844269 -98.451379,29.838028 -98.461884,29.838028 -98.461884,29.844269 -98.451379,29.844269
TX,Comal,106,-98.440873,29.85051 -98.440873,29.844269 -98.451379,29.844269 -98.451379,29.85051 -98.440873,29.85051
TX,Comal,107,-98.440873,29.844269 -98.440873,29.838028 -98.451379,29.838028 -98.451379,29.844269 -98.440873,29.844269
TX,Comal,108,-98.430368,29.862992 -98.430368,29.856751 -98.440873,29.856751 -98.440873,29.862992 -98.430368,29.862992
TX,Comal,109,-98.430368,29.856751 -98.430368,29.85051 -98.440873,29.85051 -98.440873,29.856751 -98.430368,29.856751
TX,Comal,110,-98.419863,29.862992 -98.419863,29.856751 -98.430368,29.856751 -98.430368,29.862992 -98.419863,29.862992
TX,Comal,111,-98.419863,29.856751 -98.419863,29.85051 -98.430368,29.85051 -98.430368,29.856751 -98.419863,29.856751
TX,Comal,112,-98.430368,29.85051 -98.430368,29.844269 -98.440873,29.844269 -98.440873,29.85051 -98.430368,29.85051
TX,Comal,113,-98.430368,29.844269 -98.430368,29.838028 -98.440873,29.838028 -98.440873,29.844269 -98.430368,29.844269
TX,Comal,114,-98.419863,29.85051 -98.419863,29.844269 -98.430368,29.844269 -98.430368,29.85051 -98.419863,29.85051
TX,Comal,115,-98.419863,29.844269 -98.419863,29.838028 -98.430368,29.838028 -98.430368,29.844269 -98.419863,29.844269
TX,Comal,116,-98.451997,29.838028 -98.451997,29.831397 -98.461884,29.831397 -98.461884,29.838028 -98.451997,29.838028
TX,Comal,117,-98.451997,29.831397 -98.451997,29.824766 -98.461884,29.824766 -98.461884,29.831397 -98.451997,29.831397
TX,Comal,118,-98.442109,29.838028 -98.442109,29.831397 -98.451997,29.831397 -98.451997,29.838028 -98.442109,29.838028
TX,Comal,119,-98.442109,29.831397 -98.442109,29.824766 -98.451997,29.824766 -98.451997,29.831397 -98.442109,29.831397
TX,Comal,120,-98.451997,29.824766 -98.451997,29.818135 -98.461884,29.818135 -98.461884,29.824766 -98.451997,29.824766
TX,Comal,121,-98.451997,29.818135 -98.451997,29.811504 -98.461884,29.811504 -98.461884,29.818135 -98.451997,29.818135
TX,Comal,122,-98.442109,29.824766 -98.442109,29.818135 -98.451997,29.818135 -98.451997,29.824766 -98.442109,29.824766
TX,Comal,123,-98.442109,29.818135 -98.442109,29.811504 -98.451997,29.811504 -98.451997,29.818135 -98.442109,29.818135
TX,Comal,124,-98.430986,29.838028 -98.430986,29.832134 -98.442109,29.832134 -98.442109,29.838028 -98.430986,29.838028
TX,Comal,125,-98.430986,29.832134 -98.430986,29.826239 -98.442109,29.826239 -98.442109,29.832134 -98.430986,29.832134
TX,Comal,126,-98.419863,29.838028 -98.419863,29.832134 -98.430986,29.832134 -98.430986,29.838028 -98.419863,29.838028
TX,Comal,127,-98.419863,29.832134 -98.419863,29.826239 -98.430986,29.826239 -98.430986,29.832134 -98.419863,29.832134
TX,Comal,128,-98.433211,29.826239 -98.433211,29.818872 -98.442109,29.818872 -98.442109,29.826239 -98.433211,29.826239
TX,Comal,129,-98.433211,29.818872 -98.433211,29.811504 -98.442109,29.811504 -98.442109,29.818872 -98.433211,29.818872
TX,Comal,130,-98.419863,29.826239 -98.419863,29.821328 -98.433211,29.821328 -98.433211,29.826239 -98.419863,29.826239
TX,Comal,131,-98.433211,29.821328 -98.426537,29.821328 -98.426537,29.811504 -98.433211,29.811504 -98.433211,29.821328
TX,Comal,132,-98.426537,29.821328 -98.419863,29.821328 -98.419863,29.811504 -98.426537,29.811504 -98.426537,29.821328
TX,Comal,133,-98.410188,29.940834 -98.402496,29.947313 -98.397736,29.95143 -98.397736,29.940834 -98.410188,29.940834
TX,Comal,134,-98.397736,29.95143 -98.392618,29.955856 -98.392618,29.940834 -98.397736,29.940834 -98.397736,29.95143
TX,Comal,135,-98.385392,29.962105 -98.385392,29.949907 -98.392618,29.949907 -98.392618,29.955856 -98.385392,29.962105
TX,Comal,136,-98.385392,29.949907 -98.385392,29.940834 -98.392618,29.940834 -98.392618,29.949907 -98.385392,29.949907
TX,Comal,137,-98.375182,29.970934 -98.375182,29.960098 -98.385392,29.960098 -98.385392,29.962105 -98.375182,29.970934
TX,Comal,138,-98.375182,29.960098 -98.375182,29.953677 -98.385392,29.953677 -98.385392,29.960098 -98.375182,29.960098
TX,Comal,139,-98.375182,29.953677 -98.375182,29.947255 -98.385392,29.947255 -98.385392,29.953677 -98.375182,29.953677
TX,Comal,140,-98.375182,29.947255 -98.375182,29.940834 -98.385392,29.940834 -98.385392,29.947255 -98.375182,29.947255
TX,Comal,141,-98.360749,29.983416 -98.360749,29.972767 -98.373062,29.972767 -98.360749,29.983416
TX,Comal,142,-98.360749,29.972767 -98.360749,29.96809 -98.375182,29.96809 -98.375182,29.970934 -98.373062,29.972767 -98.360749,29.972767
TX,Comal,143,-98.375182,29.96809 -98.367965,29.96809 -98.367965,29.959004 -98.375182,29.959004 -98.375182,29.96809
TX,Comal,144,-98.367965,29.96809 -98.360749,29.96809 -98.360749,29.959004 -98.367965,29.959004 -98.367965,29.96809
TX,Comal,145,-98.375182,29.959004 -98.367965,29.959004 -98.367965,29.949919 -98.375182,29.949919 -98.375182,29.959004
TX,Comal,146,-98.367965,29.959004 -98.360749,29.959004 -98.360749,29.949919 -98.367965,29.949919 -98.367965,29.959004
TX,Comal,147,-98.375182,29.949919 -98.367965,29.949919 -98.367965,29.940834 -98.375182,29.940834 -98.375182,29.949919
TX,Comal,148,-98.367965,29.949919 -98.360749,29.949919 -98.360749,29.940834 -98.367965,29.940834 -98.367965,29.949919
TX,Comal,149,-98.419863,29.932567 -98.413895,29.937712 -98.41033,29.940714 -98.41033,29.929784 -98.419863,29.929784 -98.419863,29.932567
TX,Comal,150,-98.41033,29.940714 -98.410188,29.940834 -98.404396,29.940834 -98.404396,29.929784 -98.41033,29.929784 -98.41033,29.940714
TX,Comal,151,-98.419863,29.929784 -98.412129,29.929784 -98.412129,29.921306 -98.419863,29.921306 -98.419863,29.929784
TX,Comal,152,-98.412129,29.929784 -98.404396,29.929784 -98.404396,29.921306 -98.412129,29.921306 -98.412129,29.929784
TX,Comal,153,-98.404396,29.940834 -98.397681,29.940834 -98.397681,29.93107 -98.404396,29.93107 -98.404396,29.940834
TX,Comal,154,-98.397681,29.940834 -98.390966,29.940834 -98.390966,29.93107 -98.397681,29.93107 -98.397681,29.940834
TX,Comal,155,-98.404396,29.93107 -98.397681,29.93107 -98.397681,29.921306 -98.404396,29.921306 -98.404396,29.93107
TX,Comal,156,-98.397681,29.93107 -98.390966,29.93107 -98.390966,29.921306 -98.397681,29.921306 -98.397681,29.93107
TX,Comal,157,-98.390966,29.940834 -98.384251,29.940834 -98.384251,29.93107 -98.390966,29.93107 -98.390966,29.940834
TX,Comal,158,-98.384251,29.940834 -98.377536,29.940834 -98.377536,29.93107 -98.384251,29.93107 -98.384251,29.940834
TX,Comal,159,-98.390966,29.93107 -98.384251,29.93107 -98.384251,29.921306 -98.390966,29.921306 -98.390966,29.93107
TX,Comal,160,-98.384251,29.93107 -98.377536,29.93107 -98.377536,29.921306 -98.384251,29.921306 -98.384251,29.93107
TX,Comal,161,-98.377536,29.940834 -98.369142,29.940834 -98.369142,29.933023 -98.377536,29.933023 -98.377536,29.940834
TX,Comal,162,-98.369142,29.940834 -98.360749,29.940834 -98.360749,29.933023 -98.369142,29.933023 -98.369142,29.940834
TX,Comal,163,-98.377536,29.933023 -98.37194,29.933023 -98.37194,29.921306 -98.377536,29.921306 -98.377536,29.933023
TX,Comal,164,-98.360749,29.933023 -98.360749,29.927164 -98.37194,29.927164 -98.37194,29.933023 -98.360749,29.933023
TX,Comal,165,-98.360749,29.927164 -98.360749,29.921306 -98.37194,29.921306 -98.37194,29.927164 -98.360749,29.927164
TX,Comal,166,-98.419863,29.921306 -98.412697,29.921306 -98.412697,29.912156 -98.419863,29.912156 -98.419863,29.921306
TX,Comal,167,-98.412697,29.921306 -98.405532,29.921306 -98.405532,29.912156 -98.412697,29.912156 -98.412697,29.921306
