State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Bexar,46,-98.752491,29.706227 -98.752491,29.698445 -98.760912,29.698445 -98.760912,29.706227 -98.752491,29.706227
TX,Bexar,47,-98.752491,29.698445 -98.752491,29.690663 -98.760912,29.690663 -98.760912,29.698445 -98.752491,29.698445
TX,Bexar,48,-98.744069,29.706227 -98.744069,29.698445 -98.752491,29.698445 -98.752491,29.706227 -98.744069,29.706227
TX,Bexar,49,-98.744069,29.698445 -98.744069,29.690663 -98.752491,29.690663 -98.752491,29.698445 -98.744069,29.698445
TX,Bexar,50,-98.735648,29.706227 -98.735648,29.698445 -98.744069,29.698445 -98.744069,29.706227 -98.735648,29.706227
TX,Bexar,51,-98.735648,29.698445 -98.735648,29.690663 -98.744069,29.690663 -98.744069,29.698445 -98.735648,29.698445
TX,Bexar,52,-98.723016,29.706227 -98.723016,29.701039 -98.735648,29.701039 -98.735648,29.706227 -98.723016,29.706227
TX,Bexar,53,-98.735648,29.701039 -98.729332,29.701039 -98.729332,29.690663 -98.735648,29.690663 -98.735648,29.701039
TX,Bexar,54,-98.729332,29.701039 -98.723016,29.701039 -98.723016,29.690663 -98.729332,29.690663 -98.729332,29.701039
TX,Bexar,55,-98.751438,29.690663 -98.751438,29.683745 -98.760912,29.683745 -98.760912,29.690663 -98.751438,29.690663
TX,Bexar,56,-98.751438,29.683745 -98.751438,29.676828 -98.760912,29.676828 -98.760912,29.683745 -98.751438,29.683745
TX,Bexar,57,-98.741964,29.690663 -98.741964,29.683745 -98.751438,29.683745 -98.751438,29.690663 -98.741964,29.690663
TX,Bexar,58,-98.741964,29.683745 -98.741964,29.676828 -98.751438,29.676828 -98.751438,29.683745 -98.741964,29.683745
TX,Bexar,59,-98.753333,29.676828 -98.753333,29.668181 -98.760912,29.668181 -98.760912,29.676828 -98.753333,29.676828
TX,Bexar,60,-98.753333,29.668181 -98.753333,29.659534 -98.760912,29.659534 -98.760912,29.668181 -98.753333,29.668181
TX,Bexar,61,-98.741964,29.676828 -98.741964,29.671063 -98.753333,29.671063 -98.753333,29.676828 -98.741964,29.676828
