State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Polk,49,-95.14171,30.837316 -95.14171,30.830158 -95.150866,30.830158 -95.150866,30.837316 -95.14171,30.837316
TX,Polk,50,-95.14171,30.830158 -95.14171,30.823 -95.150866,30.823 -95.150866,30.830158 -95.14171,30.830158
TX,Polk,51,-95.132555,30.837316 -95.132555,30.830158 -95.14171,30.830158 -95.14171,30.837316 -95.132555,30.837316
TX,Polk,52,-95.132555,30.830158 -95.132555,30.823 -95.14171,30.823 -95.14171,30.830158 -95.132555,30.830158
TX,Polk,53,-95.14171,30.823 -95.14171,30.815842 -95.150866,30.815842 -95.150866,30.823 -95.14171,30.823
TX,Polk,54,-95.14171,30.815842 -95.14171,30.808684 -95.150866,30.808684 -95.150866,30.815842 -95.14171,30.815842
TX,Polk,55,-95.132555,30.823 -95.132555,30.815842 -95.14171,30.815842 -95.14171,30.823 -95.132555,30.823
TX,Polk,56,-95.132555,30.815842 -95.132555,30.808684 -95.14171,30.808684 -95.14171,30.815842 -95.132555,30.815842
TX,Polk,57,-95.123399,30.837316 -95.123399,30.830158 -95.132555,30.830158 -95.132555,30.837316 -95.123399,30.837316
TX,Polk,58,-95.123399,30.830158 -95.123399,30.823 -95.132555,30.823 -95.132555,30.830158 -95.123399,30.830158
TX,Polk,59,-95.114243,30.837316 -95.114243,30.830158 -95.123399,30.830158 -95.123399,30.837316 -95.114243,30.837316
TX,Polk,60,-95.114243,30.830158 -95.114243,30.823 -95.123399,30.823 -95.123399,30.830158 -95.114243,30.830158
TX,Polk,61,-95.123399,30.823 -95.123399,30.815842 -95.132555,30.815842 -95.132555,30.823 -95.123399,30.823
TX,Polk,62,-95.123399,30.815842 -95.123399,30.808684 -95.132555,30.808684 -95.132555,30.815842 -95.123399,30.815842
TX,Polk,63,-95.114243,30.823 -95.114243,30.815842 -95.123399,30.815842 -95.123399,30.823 -95.114243,30.823
TX,Polk,64,-95.114243,30.815842 -95.114243,30.808684 -95.123399,30.808684 -95.123399,30.815842 -95.114243,30.815842
TX,Polk,65,-95.109131,30.901169 -95.096616,30.911642 -95.096616,30.901169 -95.109131,30.901169
TX,Polk,66,-95.096616,30.911642 -95.091432,30.91598 -95.091432,30.901169 -95.096616,30.901169 -95.096616,30.911642
TX,Polk,67,-95.0841,30.922116 -95.0841,30.910108 -95.091432,30.910108 -95.091432,30.91598 -95.0841,30.922116
TX,Polk,68,-95.0841,30.910108 -95.0841,30.901169 -95.091432,30.901169 -95.091432,30.910108 -95.0841,30.910108
TX,Polk,69,-95.073732,30.930792 -95.073732,30.920133 -95.0841,30.920133 -95.0841,30.922116 -95.073732,30.930792
TX,Polk,70,-95.073732,30.920133 -95.073732,30.913811 -95.0841,30.913811 -95.0841,30.920133 -95.073732,30.920133
TX,Polk,71,-95.073732,30.913811 -95.073732,30.90749 -95.0841,30.90749 -95.0841,30.913811 -95.073732,30.913811
TX,Polk,72,-95.073732,30.90749 -95.073732,30.901169 -95.0841,30.901169 -95.0841,30.90749 -95.073732,30.90749
TX,Polk,73,-95.103495,30.901169 -95.103495,30.894054 -95.114243,30.894054 -95.114243,30.896888 -95.114098,30.897013 -95.109131,30.901169 -95.103495,30.901169
TX,Polk,74,-95.103495,30.894054 -95.103495,30.887956 -95.114243,30.887956 -95.114243,30.894054 -95.103495,30.894054
TX,Polk,75,-95.093574,30.901169 -95.093574,30.894563 -95.103495,30.894563 -95.103495,30.901169 -95.093574,30.901169
TX,Polk,76,-95.093574,30.894563 -95.093574,30.887956 -95.103495,30.887956 -95.103495,30.894563 -95.093574,30.894563
TX,Polk,77,-95.083653,30.901169 -95.083653,30.894563 -95.093574,30.894563 -95.093574,30.901169 -95.083653,30.901169
TX,Polk,78,-95.083653,30.894563 -95.083653,30.887956 -95.093574,30.887956 -95.093574,30.894563 -95.083653,30.894563
TX,Polk,79,-95.073732,30.901169 -95.073732,30.894563 -95.083653,30.894563 -95.083653,30.901169 -95.073732,30.901169
TX,Polk,80,-95.073732,30.894563 -95.073732,30.887956 -95.083653,30.887956 -95.083653,30.894563 -95.073732,30.894563
TX,Polk,81,-95.104115,30.887956 -95.104115,30.881485 -95.114243,30.881485 -95.114243,30.887956 -95.104115,30.887956
TX,Polk,82,-95.104115,30.881485 -95.104115,30.875014 -95.114243,30.875014 -95.114243,30.881485 -95.104115,30.881485
TX,Polk,83,-95.093988,30.887956 -95.093988,30.881485 -95.104115,30.881485 -95.104115,30.887956 -95.093988,30.887956
TX,Polk,84,-95.093988,30.881485 -95.093988,30.875014 -95.104115,30.875014 -95.104115,30.881485 -95.093988,30.881485
TX,Polk,85,-95.104115,30.875014 -95.104115,30.868543 -95.114243,30.868543 -95.114243,30.875014 -95.104115,30.875014
TX,Polk,86,-95.104115,30.868543 -95.104115,30.862071 -95.114243,30.862071 -95.114243,30.868543 -95.104115,30.868543
TX,Polk,87,-95.093988,30.875014 -95.093988,30.868543 -95.104115,30.868543 -95.104115,30.875014 -95.093988,30.875014
TX,Polk,88,-95.093988,30.868543 -95.093988,30.862071 -95.104115,30.862071 -95.104115,30.868543 -95.093988,30.868543
