State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,47,-96.861809,28.595454 -96.861809,28.587389 -96.869936,28.587389 -96.869936,28.595454 -96.861809,28.595454
TX,Calhoun,48,-96.853682,28.60352 -96.853682,28.595454 -96.861809,28.595454 -96.861809,28.60352 -96.853682,28.60352
TX,Calhoun,49,-96.853682,28.595454 -96.853682,28.587389 -96.861809,28.587389 -96.861809,28.595454 -96.853682,28.595454
TX,Calhoun,50,-96.861809,28.587389 -96.861809,28.579323 -96.869936,28.579323 -96.869936,28.587389 -96.861809,28.587389
TX,Calhoun,51,-96.861809,28.579323 -96.861809,28.571258 -96.869936,28.571258 -96.869936,28.579323 -96.861809,28.579323
TX,Calhoun,52,-96.853682,28.587389 -96.853682,28.579323 -96.861809,28.579323 -96.861809,28.587389 -96.853682,28.587389
TX,Calhoun,53,-96.853682,28.579323 -96.853682,28.571258 -96.861809,28.571258 -96.861809,28.579323 -96.853682,28.579323
TX,Calhoun,54,-96.845555,28.60352 -96.845555,28.595454 -96.853682,28.595454 -96.853682,28.60352 -96.845555,28.60352
TX,Calhoun,55,-96.845555,28.595454 -96.845555,28.587389 -96.853682,28.587389 -96.853682,28.595454 -96.845555,28.595454
TX,Calhoun,56,-96.837428,28.60352 -96.837428,28.595454 -96.845555,28.595454 -96.845555,28.60352 -96.837428,28.60352
TX,Calhoun,57,-96.837428,28.595454 -96.837428,28.587389 -96.845555,28.587389 -96.845555,28.595454 -96.837428,28.595454
TX,Calhoun,58,-96.845555,28.587389 -96.845555,28.579323 -96.853682,28.579323 -96.853682,28.587389 -96.845555,28.587389
TX,Calhoun,59,-96.845555,28.579323 -96.845555,28.571258 -96.853682,28.571258 -96.853682,28.579323 -96.845555,28.579323
TX,Calhoun,60,-96.837428,28.587389 -96.837428,28.579323 -96.845555,28.579323 -96.845555,28.587389 -96.837428,28.587389
TX,Calhoun,61,-96.837428,28.579323 -96.837428,28.571258 -96.845555,28.571258 -96.845555,28.579323 -96.837428,28.579323
