State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Brazoria,47,-95.793212,29.304133 -95.78405,29.296521 -95.78405,29.293174 -95.793212,29.293174 -95.793212,29.304133
TX,Brazoria,48,-95.78405,29.296521 -95.783798,29.296312 -95.776894,29.302511 -95.774794,29.30446 -95.774794,29.293174 -95.78405,29.293174 -95.78405,29.296521
TX,Brazoria,49,-95.793212,29.293174 -95.787073,29.293174 -95.787073,29.2825 -95.793212,29.2825 -95.793212,29.293174
TX,Brazoria,50,-95.787073,29.293174 -95.780933,29.293174 -95.780933,29.2825 -95.787073,29.2825 -95.787073,29.293174
TX,Brazoria,51,-95.780933,29.293174 -95.774794,29.293174 -95.774794,29.2825 -95.780933,29.2825 -95.780933,29.293174
TX,Brazoria,52,-95.808924,29.2825 -95.800391,29.2825 -95.800391,29.274819 -95.808924,29.274819 -95.808924,29.2825
TX,Brazoria,53,-95.800391,29.2825 -95.791859,29.2825 -95.791859,29.274819 -95.800391,29.274819 -95.800391,29.2825
TX,Brazoria,54,-95.808924,29.274819 -95.803236,29.274819 -95.803236,29.263298 -95.808924,29.263298 -95.808924,29.274819
TX,Brazoria,55,-95.791859,29.274819 -95.791859,29.269058 -95.803236,29.269058 -95.803236,29.274819 -95.791859,29.274819
TX,Brazoria,56,-95.791859,29.269058 -95.791859,29.263298 -95.803236,29.263298 -95.803236,29.269058 -95.791859,29.269058
TX,Brazoria,57,-95.791859,29.2825 -95.783326,29.2825 -95.783326,29.274819 -95.791859,29.274819 -95.791859,29.2825
TX,Brazoria,58,-95.783326,29.2825 -95.774794,29.2825 -95.774794,29.274819 -95.783326,29.274819 -95.783326,29.2825
TX,Brazoria,59,-95.791859,29.274819 -95.786171,29.274819 -95.786171,29.263298 -95.791859,29.263298 -95.791859,29.274819
TX,Brazoria,60,-95.774794,29.274819 -95.774794,29.269058 -95.786171,29.269058 -95.786171,29.274819 -95.774794,29.274819
TX,Brazoria,61,-95.774794,29.269058 -95.774794,29.263298 -95.786171,29.263298 -95.786171,29.269058 -95.774794,29.269058
TX,Brazoria,62,-95.808924,29.263298 -95.800391,29.263298 -95.800391,29.255617 -95.808924,29.255617 -95.808924,29.263298
TX,Brazoria,63,-95.800391,29.263298 -95.791859,29.263298 -95.791859,29.255617 -95.800391,29.255617 -95.800391,29.263298
TX,Brazoria,64,-95.808924,29.255617 -95.803236,29.255617 -95.803236,29.244096 -95.808924,29.244096 -95.808924,29.255617
TX,Brazoria,65,-95.791859,29.255617 -95.791859,29.249856 -95.803236,29.249856 -95.803236,29.255617 -95.791859,29.255617
TX,Brazoria,66,-95.791859,29.249856 -95.791859,29.244096 -95.803236,29.244096 -95.803236,29.249856 -95.791859,29.249856
TX,Brazoria,67,-95.791859,29.263298 -95.783326,29.263298 -95.783326,29.255617 -95.791859,29.255617 -95.791859,29.263298
TX,Brazoria,68,-95.783326,29.263298 -95.774794,29.263298 -95.774794,29.255617 -95.783326,29.255617 -95.783326,29.263298
TX,Brazoria,69,-95.791859,29.255617 -95.786171,29.255617 -95.786171,29.244096 -95.791859,29.244096 -95.791859,29.255617
TX,Brazoria,70,-95.774794,29.255617 -95.774794,29.249856 -95.786171,29.249856 -95.786171,29.255617 -95.774794,29.255617
TX,Brazoria,71,-95.774794,29.249856 -95.774794,29.244096 -95.786171,29.244096 -95.786171,29.249856 -95.774794,29.249856
TX,Brazoria,72,-95.808924,29.244096 -95.801167,29.244096 -95.801167,29.235647 -95.808924,29.235647 -95.808924,29.244096
TX,Brazoria,73,-95.801167,29.244096 -95.79341,29.244096 -95.79341,29.235647 -95.801167,29.235647 -95.801167,29.244096
TX,Brazoria,74,-95.808924,29.235647 -95.803753,29.235647 -95.803753,29.222974 -95.808924,29.222974 -95.808924,29.235647
TX,Brazoria,75,-95.79341,29.235647 -95.79341,29.22931 -95.803753,29.22931 -95.803753,29.235647 -95.79341,29.235647
TX,Brazoria,76,-95.79341,29.22931 -95.79341,29.222974 -95.803753,29.222974 -95.803753,29.22931 -95.79341,29.22931
TX,Brazoria,77,-95.79341,29.244096 -95.787205,29.244096 -95.787205,29.233535 -95.79341,29.233535 -95.79341,29.244096
TX,Brazoria,78,-95.787205,29.244096 -95.780999,29.244096 -95.780999,29.233535 -95.787205,29.233535 -95.787205,29.244096
TX,Brazoria,79,-95.780999,29.244096 -95.774794,29.244096 -95.774794,29.233535 -95.780999,29.233535 -95.780999,29.244096
TX,Brazoria,80,-95.79341,29.233535 -95.787205,29.233535 -95.787205,29.222974 -95.79341,29.222974 -95.79341,29.233535
TX,Brazoria,81,-95.787205,29.233535 -95.780999,29.233535 -95.780999,29.222974 -95.787205,29.222974 -95.787205,29.233535
TX,Brazoria,82,-95.780999,29.233535 -95.774794,29.233535 -95.774794,29.222974 -95.780999,29.222974 -95.780999,29.233535
TX,Brazoria,83,-95.774349,29.304873 -95.762466,29.315903 -95.762466,29.304873 -95.774349,29.304873
TX,Brazoria,84,-95.762466,29.315903 -95.757544,29.320472 -95.757544,29.304873 -95.762466,29.304873 -95.762466,29.315903
TX,Brazoria,85,-95.751495,29.324013 -95.746519,29.322464 -95.746519,29.316762 -95.757544,29.316762 -95.757544,29.320472 -95.757393,29.320612 -95.751495,29.324013
TX,Brazoria,86,-95.746519,29.316762 -95.746519,29.310818 -95.757544,29.310818 -95.757544,29.316762 -95.746519,29.316762
TX,Brazoria,87,-95.746519,29.310818 -95.746519,29.304873 -95.757544,29.304873 -95.757544,29.310818 -95.746519,29.310818
TX,Brazoria,88,-95.763479,29.304873 -95.763479,29.299073 -95.774794,29.299073 -95.774794,29.30446 -95.774349,29.304873 -95.763479,29.304873
TX,Brazoria,89,-95.763479,29.299073 -95.763479,29.293281 -95.774794,29.293281 -95.774794,29.299073 -95.763479,29.299073
TX,Brazoria,90,-95.763479,29.304873 -95.757826,29.304873 -95.757826,29.293281 -95.763479,29.293281 -95.763479,29.304873
TX,Brazoria,91,-95.746519,29.304873 -95.746519,29.299077 -95.757826,29.299077 -95.757826,29.304873 -95.746519,29.304873
TX,Brazoria,92,-95.746519,29.299077 -95.746519,29.293281 -95.757826,29.293281 -95.757826,29.299077 -95.746519,29.299077
TX,Brazoria,93,-95.774794,29.293281 -95.767725,29.293281 -95.767725,29.28401 -95.774794,29.28401 -95.774794,29.293281
TX,Brazoria,94,-95.767725,29.293281 -95.760656,29.293281 -95.760656,29.28401 -95.767725,29.28401 -95.767725,29.293281
TX,Brazoria,95,-95.774794,29.28401 -95.770081,29.28401 -95.770081,29.270103 -95.774794,29.270103 -95.774794,29.28401
TX,Brazoria,96,-95.760656,29.28401 -95.760656,29.277056 -95.770081,29.277056 -95.770081,29.28401 -95.760656,29.28401
TX,Brazoria,97,-95.760656,29.277056 -95.760656,29.270103 -95.770081,29.270103 -95.770081,29.277056 -95.760656,29.277056
TX,Brazoria,98,-95.760656,29.293281 -95.753587,29.293281 -95.753587,29.28401 -95.760656,29.28401 -95.760656,29.293281
TX,Brazoria,99,-95.753587,29.293281 -95.746519,29.293281 -95.746519,29.28401 -95.753587,29.28401 -95.753587,29.293281
TX,Brazoria,100,-95.760656,29.28401 -95.755944,29.28401 -95.755944,29.270103 -95.760656,29.270103 -95.760656,29.28401
TX,Brazoria,101,-95.746519,29.28401 -95.746519,29.277056 -95.755944,29.277056 -95.755944,29.28401 -95.746519,29.28401
TX,Brazoria,102,-95.746519,29.277056 -95.746519,29.270103 -95.755944,29.270103 -95.755944,29.277056 -95.746519,29.277056
TX,Brazoria,103,-95.746519,29.322464 -95.740673,29.320645 -95.740673,29.310343 -95.746519,29.310343 -95.746519,29.322464
TX,Brazoria,104,-95.740673,29.320645 -95.733545,29.318427 -95.733545,29.310343 -95.740673,29.310343 -95.740673,29.320645
TX,Brazoria,105,-95.733545,29.310343 -95.733545,29.305291 -95.746519,29.305291 -95.746519,29.310343 -95.733545,29.310343
