State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Jackson,49,-96.938598,29.063214 -96.927761,29.071218 -96.927761,29.059122 -96.938598,29.063214
TX,Jackson,50,-96.91955,29.074342 -96.91955,29.065555 -96.927761,29.065555 -96.927761,29.071218 -96.923531,29.074342 -96.91955,29.074342
TX,Jackson,51,-96.91955,29.065555 -96.91955,29.056021 -96.927761,29.059122 -96.927761,29.065555 -96.91955,29.065555
TX,Jackson,52,-96.909797,29.074342 -96.909797,29.067622 -96.91955,29.067622 -96.91955,29.074342 -96.909797,29.074342
TX,Jackson,53,-96.909797,29.067622 -96.909797,29.060901 -96.91955,29.060901 -96.91955,29.067622 -96.909797,29.067622
TX,Jackson,54,-96.909797,29.060901 -96.909797,29.052339 -96.91955,29.056021 -96.91955,29.060901 -96.909797,29.060901
TX,Jackson,55,-96.909797,29.074342 -96.904548,29.074342 -96.904548,29.061854 -96.909797,29.061854 -96.909797,29.074342
TX,Jackson,56,-96.89405,29.074342 -96.89405,29.068098 -96.904548,29.068098 -96.904548,29.074342 -96.89405,29.074342
TX,Jackson,57,-96.89405,29.068098 -96.89405,29.061854 -96.904548,29.061854 -96.904548,29.068098 -96.89405,29.068098
TX,Jackson,58,-96.909797,29.061854 -96.903656,29.061854 -96.903656,29.05002 -96.909797,29.052339 -96.909797,29.061854
TX,Jackson,59,-96.89405,29.061854 -96.89405,29.05503 -96.903656,29.05503 -96.903656,29.061854 -96.89405,29.061854
TX,Jackson,60,-96.89405,29.05503 -96.89405,29.046393 -96.903656,29.05002 -96.903656,29.05503 -96.89405,29.05503
TX,Jackson,61,-96.881969,29.074342 -96.881969,29.068917 -96.89405,29.068917 -96.89405,29.074342 -96.881969,29.074342
TX,Jackson,62,-96.89405,29.068917 -96.88801,29.068917 -96.88801,29.058065 -96.89405,29.058065 -96.89405,29.068917
TX,Jackson,63,-96.88801,29.068917 -96.881969,29.068917 -96.881969,29.058065 -96.88801,29.058065 -96.88801,29.068917
TX,Jackson,64,-96.869888,29.074342 -96.869888,29.068917 -96.881969,29.068917 -96.881969,29.074342 -96.869888,29.074342
TX,Jackson,65,-96.881969,29.068917 -96.875928,29.068917 -96.875928,29.058065 -96.881969,29.058065 -96.881969,29.068917
TX,Jackson,66,-96.875928,29.068917 -96.869888,29.068917 -96.869888,29.058065 -96.875928,29.058065 -96.875928,29.068917
TX,Jackson,67,-96.880279,29.058065 -96.880279,29.053305 -96.89405,29.053305 -96.89405,29.058065 -96.880279,29.058065
TX,Jackson,68,-96.89405,29.053305 -96.886235,29.053305 -96.886235,29.043442 -96.89405,29.046393 -96.89405,29.053305
TX,Jackson,69,-96.886235,29.053305 -96.880279,29.053305 -96.880279,29.04115 -96.885097,29.043012 -96.886235,29.043442 -96.886235,29.053305
TX,Jackson,70,-96.869888,29.058065 -96.869888,29.051757 -96.880279,29.051757 -96.880279,29.058065 -96.869888,29.058065
TX,Jackson,71,-96.869888,29.051757 -96.869888,29.04545 -96.880279,29.04545 -96.880279,29.051757 -96.869888,29.051757
TX,Jackson,72,-96.869888,29.04545 -96.869888,29.037133 -96.880279,29.04115 -96.880279,29.04545 -96.869888,29.04545
TX,Jackson,73,-96.869888,29.074342 -96.863384,29.074342 -96.863384,29.064264 -96.869888,29.064264 -96.869888,29.074342
TX,Jackson,74,-96.863384,29.074342 -96.85688,29.074342 -96.85688,29.064264 -96.863384,29.064264 -96.863384,29.074342
TX,Jackson,75,-96.85688,29.074342 -96.850377,29.074342 -96.850377,29.064264 -96.85688,29.064264 -96.85688,29.074342
