Name,Unit,Lease Rate,New Price,New Hours,Current Price,Hours Remain,Width,Speed,Field Eff.,Hours Power,Rf1,Rf2,Ir Loan,L Loan,Ir Equity,P Debt,Year,Rv1,Rv2
194,Farm12_dmf_oe7_dribbler & bandwagon pt,each,100,15000,2000,15000,2000,40,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
195,Farm12_dmf_oe8_tractor jd 4450,each,100,60000,9600,60000,9600,50,20,80,145,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
196,Farm12_dmf_oe9_manure spreader hedegor,each,100,15000,2000,15000,2000,10,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
197,Farm12_oe1_cultivator flexicoil shvel and harrows,each,100,30000,1200,30000,1200,32,10,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
198,Farm12_oe2_seed drill jd hoe,each,100,30000,1200,30000,1200,30,10,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
199,Farm12_oe3_jd 4960 tractor,each,100,80000,9600,80000,9600,50,20,80,235,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
200,Farm12_oe4_swather hesston sp,each,100,35000,1800,35000,1800,21,5,80,90,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
201,Farm12_oe5_forage harvester case 1h pt,each,100,20000,4000,20000,4000,8,6,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
202,Farm12_oe6_bagger gem silage bagger,each,100,120000,4000,120000,4000,9,15,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
203,Farm12_oe7_dribbler & bandwagon pt,each,100,15000,2000,15000,2000,40,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
204,Farm12_oe8_tractor jd 4450,each,100,60000,9600,60000,9600,50,20,80,145,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
205,Farm12_oe9_manure spreader hedegor,each,100,15000,2000,15000,2000,10,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
206,Farm1_imp_le1_tractor jd 8640,each,30000,30000,9600,30000,9600,50,20,80,275,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
207,Farm1_imp_le2_tractor jd 8520 track,each,29000,29000,9600,29000,9600,50,20,80,225,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
208,Farm1_imp_le3_fertilizer spreader,each,3000,3000,450,3000,450,20,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
209,Farm1_imp_oe10_nh 240 chopper p.t,each,100,40000,4000,40000,4000,10,6,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
210,Farm1_imp_oe11_tx66 nh sp combine,each,100,55000,5500,55000,5500,15,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
211,Farm1_imp_oe12_tx66 nh sp combine,each,100,50000,5500,50000,5500,15,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
212,Farm1_imp_oe13_flexicoil harrow,each,100,20000,1500,20000,1500,70,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
213,Farm1_imp_oe14_flexicoil harrow with valmar blower & tank,each,100,15000,1500,15000,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
214,Farm1_imp_oe15_bourgault cultivator,each,100,25000,1200,25000,1200,36,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
215,Farm1_imp_oe16_flexicoil sprayer p.t,each,100,30000,2000,30000,2000,80,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
216,Farm1_imp_oe17_haybine nh,each,100,10000,1800,10000,1800,16,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
217,Farm1_imp_oe1_tractor case 9170,each,100,45000,9600,45000,9600,50,20,80,325,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
218,Farm1_imp_oe2_tractor ford 8970,each,100,70000,9600,70000,9600,50,20,80,225,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
219,Farm1_imp_oe3_tractor ford 8160,each,100,45000,9600,45000,9600,50,20,80,180,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
220,Farm1_imp_oe4_tractor case 5250,each,100,35000,9600,35000,9600,50,20,80,150,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
221,Farm1_imp_oe5_field roller,each,100,10000,1500,10000,1500,42,4,75,0,0.23,1.8,0.08,5,0.08,0.5,4,0.56,0.885
222,"Farm1_imp_oe6_flexicoil drill, stelth openers",each,100,45000,1200,45000,1200,39,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
223,Farm1_imp_oe7_pt case swather,each,100,10000,1800,10000,1800,25,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
224,Farm1_imp_oe8_sd premiere swather,each,100,95000,1800,95000,1800,30,15,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
225,Farm1_imp_oe9_baler jd 568,each,100,45000,1200,45000,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
226,Farm1_imp_ref_le1_tractor jd 8640,each,30000,30000,9600,30000,9600,50,20,80,275,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
227,Farm1_imp_ref_le2_tractor jd 8520 track,each,29000,29000,9600,29000,9600,50,20,80,225,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
228,Farm1_imp_ref_le3_fertilizer spreader,each,3000,3000,450,3000,450,20,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
229,Farm1_imp_ref_oe10_nh 240 chopper p.t,each,100,40000,4000,40000,4000,10,6,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
230,Farm1_imp_ref_oe11_tx66 nh sp combine,each,100,55000,5500,55000,5500,15,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
231,Farm1_imp_ref_oe12_tx66 nh sp combine,each,100,50000,5500,50000,5500,15,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
232,Farm1_imp_ref_oe13_flexicoil harrow,each,100,20000,1500,20000,1500,70,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
233,Farm1_imp_ref_oe14_flexicoil harrow with valmar blower & tank,each,100,15000,1500,15000,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
234,Farm1_imp_ref_oe15_bourgault cultivator,each,100,25000,1200,25000,1200,36,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
235,Farm1_imp_ref_oe16_flexicoil sprayer p.t,each,100,30000,2000,30000,2000,80,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
236,Farm1_imp_ref_oe17_haybine nh,each,100,10000,1800,10000,1800,16,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
237,Farm1_imp_ref_oe1_tractor case 9170,each,100,45000,9600,45000,9600,50,20,80,325,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
238,Farm1_imp_ref_oe2_tractor ford 8970,each,100,70000,9600,70000,9600,50,20,80,225,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
239,Farm1_imp_ref_oe3_tractor ford 8160,each,100,45000,9600,45000,9600,50,20,80,180,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
240,Farm1_imp_ref_oe4_tractor case 5250,each,100,35000,9600,35000,9600,50,20,80,150,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
241,Farm1_imp_ref_oe5_field roller,each,100,10000,1500,10000,1500,42,4,75,0,0.23,1.8,0.08,5,0.08,0.5,4,0.56,0.885
242,"Farm1_imp_ref_oe6_flexicoil drill, stelth openers",each,100,45000,1200,45000,1200,39,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
243,Farm1_imp_ref_oe7_pt case swather,each,100,10000,1800,10000,1800,25,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
244,Farm1_imp_ref_oe8_sd premiere swather,each,100,95000,1800,95000,1800,30,15,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
245,Farm1_imp_ref_oe9_baler jd 568,each,100,45000,1200,45000,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
246,Farm1_le1_tractor jd 8640,each,30000,30000,9600,30000,9600,50,20,80,275,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
247,Farm1_le2_tractor jd 8520 track,each,29000,29000,9600,29000,9600,50,20,80,225,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
248,Farm1_le3_fertilizer spreader,each,3000,3000,450,3000,450,20,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
249,Farm1_oe10_nh 240 chopper p.t,each,100,40000,4000,40000,4000,10,6,70,0,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
250,Farm1_oe11_tx66 nh sp combine,each,100,55000,5500,55000,5500,15,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
251,Farm1_oe12_tx66 nh sp combine,each,100,50000,5500,50000,5500,15,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
252,Farm1_oe13_flexicoil harrow,each,100,20000,1500,20000,1500,70,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
253,Farm1_oe14_flexicoil harrow with valmar blower & tank,each,100,15000,1500,15000,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
254,Farm1_oe15_bourgault cultivator,each,100,25000,1200,25000,1200,36,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
255,Farm1_oe16_flexicoil sprayer p.t,each,100,30000,2000,30000,2000,80,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
256,Farm1_oe17_haybine nh,each,100,10000,1800,10000,1800,16,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
257,Farm1_oe1_tractor case 9170,each,100,45000,9600,45000,9600,50,20,80,325,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
258,Farm1_oe2_tractor ford 8970,each,100,70000,9600,70000,9600,50,20,80,225,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
259,Farm1_oe3_tractor ford 8160,each,100,45000,9600,45000,9600,50,20,80,180,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
260,Farm1_oe4_tractor case 5250,each,100,35000,9600,35000,9600,50,20,80,150,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
261,Farm1_oe5_field roller,each,100,10000,1500,10000,1500,42,4,75,0,0.23,1.8,0.08,5,0.08,0.5,4,0.56,0.885
262,"Farm1_oe6_flexicoil drill, stelth openers",each,100,45000,1200,45000,1200,39,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
263,Farm1_oe7_pt case swather,each,100,10000,1800,10000,1800,25,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
264,Farm1_oe8_sd premiere swather,each,100,95000,1800,95000,1800,30,15,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
265,Farm1_oe9_baler jd 568,each,100,45000,1200,45000,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
266,Farm3_cor_pst_oe1_tractor jd 1840,each,100,20000,9600,20000,9600,50,20,80,65,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
267,Farm3_cor_pst_oe2_tractor jd 4020,each,100,7500,9600,7500,9600,50,20,80,90,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
268,Farm3_cor_pst_oe3_haybine nh 114,each,100,5000,1800,5000,1800,14,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
269,Farm3_cor_pst_oe4_baler jd 510,each,100,2500,1200,2500,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
270,"Farm3_cor_pst_oe5_harrows,diamond",each,100,100,1500,100,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
271,Farm3_cor_pst_oe6_truck chevrolet,each,100,1000,4000,1000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
272,Farm3_cor_pst_oe7_trailer maverick,each,100,4000,4000,4000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
273,Farm3_cor_pst_oe8_truck ford f250,each,100,5000,4000,5000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
274,Farm3_oe1_tractor jd 1840,each,100,20000,9600,20000,9600,50,20,80,65,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
275,Farm3_oe2_tractor jd 4020,each,100,7500,9600,7500,9600,50,20,80,90,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
276,Farm3_oe3_haybine nh 114,each,100,5000,1800,5000,1800,14,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
277,Farm3_oe4_baler jd 510,each,100,2500,1200,2500,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
278,"Farm3_oe5_harrows,diamond",each,100,100,1500,100,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
279,Farm3_oe6_truck chevrolet,each,100,1000,4000,1000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
280,Farm3_oe7_trailer maverick,each,100,4000,4000,4000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
281,Farm3_oe8_truck ford f250,each,100,5000,4000,5000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
282,Farm5_oe10_haybine nh pt,each,100,2000,1800,2000,1800,14,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
283,Farm5_oe11_grain truck chev single axle,each,100,4000,4000,4000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
284,Farm5_oe12_tractor jd 7210 & loader,each,100,55000,9600,55000,9600,50,20,80,95,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
285,Farm5_oe13_fertilizer spreader,each,100,500,450,500,450,20,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
286,Farm5_oe14_manure spreader international,each,100,500,2000,500,2000,20,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
287,Farm5_oe1_ tractor jd 4455,each,100,40000,9600,40000,9600,50,20,80,145,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
288,Farm5_oe2_ tractor jd 4250,each,100,25000,9600,25000,9600,50,20,80,110,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
289,Farm5_oe3_ frigstad cultivator,each,100,2000,1200,2000,1200,24,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
290,"Farm5_oe4_ jd air seeder , shovel",each,100,25000,900,25000,900,30,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
291,Farm5_oe5_ harrow-packers,each,100,2000,1500,2000,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
292,Farm5_oe6_sprayer versatile pt,each,100,800,2000,800,2000,80,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
293,Farm5_oe7_swather sp versatile,each,100,1500,1800,1500,1800,20,7,80,90,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
294,Farm5_oe8_combine sp jd 6620 with pickup,each,100,6000,5500,6000,5500,15,6,70,145,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
295,Farm5_oe9_baler nh,each,100,1500,1200,1500,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
296,Farm5_win_oe10_haybine nh pt,each,100,2000,1800,2000,1800,14,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
297,Farm5_win_oe11_grain truck chev single axle,each,100,4000,4000,4000,4000,7,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
298,Farm5_win_oe12_tractor jd 7210 & loader,each,100,55000,9600,55000,9600,50,20,80,95,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
299,Farm5_win_oe13_fertilizer spreader,each,100,500,450,500,450,20,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
300,Farm5_win_oe14_manure spreader international,each,100,500,2000,500,2000,20,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
301,Farm5_win_oe1_ tractor jd 4455,each,100,40000,9600,40000,9600,50,20,80,145,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
302,Farm5_win_oe2_ tractor jd 4250,each,100,25000,9600,25000,9600,50,20,80,110,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
303,Farm5_win_oe3_ frigstad cultivator,each,100,2000,1200,2000,1200,24,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
304,"Farm5_win_oe4_ jd air seeder , shovel",each,100,25000,900,25000,900,30,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
305,Farm5_win_oe5_ harrow-packers,each,100,2000,1500,2000,1500,40,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
306,Farm5_win_oe6_sprayer versatile pt,each,100,800,2000,800,2000,80,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
307,Farm5_win_oe7_swather sp versatile,each,100,1500,1800,1500,1800,20,7,80,90,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
308,Farm5_win_oe8_combine sp jd 6620 with pickup,each,100,6000,5500,6000,5500,15,6,70,145,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
309,Farm5_win_oe9_baler nh,each,100,1500,1200,1500,1200,7,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
310,Farm7_oe10_pivot system renkie with cornerarm,each,100,25000,2000,25000,2000,90,6.5,65,0,0.43,1.8,0.08,5,0.08,0.143,4,0.6,0.885
311,Farm7_oe11_ripper disc krause,each,100,30000,1500,30000,1500,25,6,80,0,0.18,1.7,0.08,5,0.08,0.143,4,0.6,0.885
312,Farm7_oe12_sprayer case ih spx 4260 sp,each,100,200000,2000,200000,2000,100,10,65,100,0.43,1.8,0.08,5,0.08,0.143,4,0.6,0.885
313,Farm7_oe1_tractor 4wd case stx 480,each,100,200000,9600,200000,9600,10,10,80,480,0.007,2,0.08,5,0.08,0.143,4,0.68,0.92
314,Farm7_oe2_flexicoil cultivator,each,100,15000,1200,15000,1200,50,5,85,0,0.27,1.4,0.08,5,0.08,0.143,4,0.6,0.885
315,Farm7_oe3_jd disc,each,100,70000,1500,70000,1500,45,6,80,0,0.18,1.7,0.08,5,0.08,0.143,4,0.6,0.885
316,Farm7_oe4_tractor fwa case mx 245,each,100,150000,9600,150000,9600,10,10,80,200,0.007,2,0.08,5,0.08,0.143,4,0.68,0.92
317,Farm7_oe5_jd corn planter,each,100,30000,1500,30000,1500,37,6,65,0,0.32,2.1,0.08,5,0.08,0.143,4,0.6,0.885
318,Farm7_oe6_riteway harrow packer bar,each,100,10000,1500,10000,1500,45,6,80,0,0.18,1.7,0.08,5,0.08,0.143,4,0.6,0.885
319,Farm7_oe7_jd 7800 forage harvester,each,100,400000,4000,400000,4000,20,10,70,560,0.02,1.8,0.08,5,0.08,0.143,4,0.56,0.885
320,Farm7_oe8b_international 7400 silage truck,each,100,80000,4000,80000,4000,20,30,80,0,0.007,2,0.08,5,0.08,0.143,4,0.6,0.885
321,Farm7_oe8c_international 7400 silage truck,each,100,80000,4000,80000,4000,20,30,80,0,0.007,2,0.08,5,0.08,0.143,4,0.6,0.885
322,Farm7_oe8d_international 7400 silage truck,each,100,80000,4000,80000,4000,20,30,80,0,0.007,2,0.08,5,0.08,0.143,4,0.6,0.885
323,Farm7_oe8_international 7400 silage truck,each,100,80000,4000,80000,4000,20,30,80,0,0.007,2,0.08,5,0.08,0.143,4,0.6,0.885
324,Farm7_oe9_pivot system renkie with cornerarm,each,100,30000,2000,30000,2000,90,6.5,65,0,0.43,1.8,0.08,5,0.08,0.143,4,0.6,0.885
325,Farm8_le1_5-ton ford,each,2000,2000,450,2000,450,25,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
326,Farm8_le2_broadcaster,each,1000,1000,450,1000,450,25,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
327,Farm8_le3_jd 567 baler,each,1500,1500,1200,1500,1200,6,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
328,Farm8_le4_sprayer,each,30000,30000,2000,30000,2000,100,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
329,Farm8_le5_case 5020 tractor,each,25000,25000,9600,25000,9600,10,20,80,200,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
330,Farm8_oe10_ihc tandom mckee box,each,100,55000,2000,55000,2000,20,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
331,Farm8_oe11_mckee manure box,each,100,16000,2000,16000,2000,18,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
332,Farm8_oe12_ihc tandom box and auto trans,each,100,16000,2000,16000,2000,20,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
333,Farm8_oe13_jd 6850 forage harvester,each,100,115000,4000,115000,4000,60,15,70,645,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
334,Farm8_oe14_combine jd 9610 sp,each,100,120000,5500,120000,5500,15,10,70,0,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
335,"Farm8_oe15_swather macdon 2940 header, hay header",each,100,110000,1800,110000,1800,30,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
336,Farm8_oe1_jd tractor 8420,each,100,90000,9600,90000,9600,30,30,80,250,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
337,Farm8_oe2_jd tractor 7820,each,100,135000,9600,135000,9600,30,20,80,170,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
338,Farm8_oe3_jd tractor 7610,each,100,70000,9600,70000,9600,30,20,80,115,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
339,Farm8_oe4_bourgault 3200 air seeder/2195 cart,each,100,25000,900,25000,900,20,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
340,Farm8_oe5_active harrow packer,each,100,10000,1500,10000,1500,42,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
341,Farm8_oe6_jd 1610 field cultivator,each,100,8500,1200,8500,1200,60,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
342,Farm8_oe7_degelman rock picker,each,100,2500,1800,2500,1800,15,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
343,Farm8_oe8_summers hd harrow bar,each,100,12000,1500,12000,1500,48,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
344,Farm8_oe9_freightliner dump grain/silage,each,100,50000,4000,50000,4000,32,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
345,Farm8_smf_nmf_le1_5-ton ford,each,2000,2000,450,2000,450,25,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
346,Farm8_smf_nmf_le2_broadcaster,each,1000,1000,450,1000,450,25,6,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
347,Farm8_smf_nmf_le3_jd 567 baler,each,1500,1500,1200,1500,1200,6,5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.56,0.885
348,Farm8_smf_nmf_le4_sprayer,each,30000,30000,2000,30000,2000,100,6.5,65,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
349,Farm8_smf_nmf_le5_case 5020 tractor,each,25000,25000,9600,25000,9600,10,20,80,200,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
350,Farm8_smf_nmf_oe10_ihc tandom mckee box,each,100,55000,2000,55000,2000,20,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
351,Farm8_smf_nmf_oe11_mckee manure box,each,100,16000,2000,16000,2000,18,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
352,Farm8_smf_nmf_oe12_ihc tandom box and auto trans,each,100,16000,2000,16000,2000,20,6.44,85,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
353,Farm8_smf_nmf_oe13_jd 6850 forage harvester,each,100,115000,4000,115000,4000,60,15,70,645,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
354,Farm8_smf_nmf_oe14_combine jd 9610 sp,each,100,120000,5500,120000,5500,15,10,70,0,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
355,"Farm8_smf_nmf_oe15_swather macdon 2940 header, hay header",each,100,110000,1800,110000,1800,30,10,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
356,Farm8_smf_nmf_oe1_jd tractor 8420,each,100,90000,9600,90000,9600,30,30,80,250,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
357,Farm8_smf_nmf_oe2_jd tractor 7820,each,100,135000,9600,135000,9600,30,20,80,170,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
358,Farm8_smf_nmf_oe3_jd tractor 7610,each,100,70000,9600,70000,9600,30,20,80,115,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
359,Farm8_smf_nmf_oe4_bourgault 3200 air seeder/2195 cart,each,100,25000,900,25000,900,20,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
360,Farm8_smf_nmf_oe5_active harrow packer,each,100,10000,1500,10000,1500,42,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
361,Farm8_smf_nmf_oe6_jd 1610 field cultivator,each,100,8500,1200,8500,1200,60,5,85,0,0.27,1.4,0.08,5,0.08,0.5,4,0.6,0.885
362,Farm8_smf_nmf_oe7_degelman rock picker,each,100,2500,1800,2500,1800,15,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
363,Farm8_smf_nmf_oe8_summers hd harrow bar,each,100,12000,1500,12000,1500,48,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
364,Farm8_smf_nmf_oe9_freightliner dump grain/silage,each,100,50000,4000,50000,4000,32,48.27,80,0,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
365,Fert appl shank 36ft rent,each,100,50,24000,50,24000,11,4.83,50,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.858
366,Fert. appl. dry,each,100,15950,1500,15950,1500,12,6,70,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
367,Fertilizer 100,each,100,94550,4000,94550,4000,8,6,70,225,0.02,1.8,0.08,5,0.08,0.5,4,0.56,0.885
368,Fertilizer app 580,each,100,2000,450,2000,450,25,7,70,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
369,Fertilizer appl.,each,100,71675,8000,71675,8000,8,6,70,145,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
370,Fertilizer dry,each,100,15950,1500,15950,1500,21,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
