Name,Unit,Lease Rate,New Price,New Hours,Current Price,Hours Remain,Width,Speed,Field Eff.,Hours Power,Rf1,Rf2,Ir Loan,L Loan,Ir Equity,P Debt,Year,Rv1,Rv2
40,Bedder-shaper,each,100,15000,1800,15000,1800,9,5,80,0,0.18,1.6,0.08,5,0.08,0.5,4,0.56,0.885
41,Bedder-shaper planter,each,100,65550,8000,65550,8000,8,6,70,125,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
42,Bedding,each,100,79400,8000,79400,8000,8,6,70,165,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
43,Beet harvester,each,100,10514,1500,9558,1500,3,3.22,65,4,0.59,1.3,0.08,5,0.08,0.5,4,0.68,0.9
44,Beet planter 8 row,each,100,1270,390,1155,390,1.4,6.44,65,0,0.32,2.1,0.08,5,0.08,0.5,4,0.68,0.92
45,Beet puller,each,100,17771,1500,16155,1500,3,3.2,65,0,0.28,1.4,0.08,5,0.08,0.5,4,0.8,0.96
46,Beet topper 12 hp,each,100,2830,1000,2573,1000,3,6.44,65,9,0.28,1.4,0.08,5,0.08,0.5,4,1.5,0.92
47,Blade - box blade,each,100,750,2000,750,2000,10,10,80,0,0.001,0.1,0.08,5,0.08,0.5,4,0.6,0.885
48,Blade 10 ft,each,100,320,2500,291,2500,3,6.44,80,0,0.29,1.8,0.08,5,0.08,0.5,4,0.6,0.885
49,Blade plow,each,100,15950,1500,15950,1500,21,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
50,"Blower - forage blower, 14 ft",each,100,4950,750,4950,750,14,4.45,80,0,0.22,1.8,0.08,5,0.08,0.5,4,0.56,0.885
51,Break borders 620,each,100,44,1,44,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
52,Broadcast seeder,each,100,23000,900,23000,900,30,5,70,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
53,Broadcast seeder,each,100,8852,1200,8047,1200,6.1,7.88,75,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
54,Build border 614,each,100,15,1,15,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
55,Build furrow dike,each,100,1,1,1,1,1,1,1,0,0,0,0.08,5,0.08,0.5,4,0,0
56,Build rice paddy,each,100,1,1,1,1,1,1,1,0,0,0,0.08,5,0.08,0.5,4,0,0
57,Burning unit,each,100,1540,510,1400,510,5.5,6.44,100,0,0.19,1.3,0.08,5,0.08,0.5,4,0.6,0.885
58,Cane harvester 2 row,each,100,182698,6000,166089,6000,3.7,8.05,100,82,0.19,1.4,0.08,5,0.08,0.5,4,0.6,0.885
59,Cane wagon 10ton,each,100,9573,3600,8703,3600,2.4,2.41,100,0,0.19,1.3,0.08,5,0.08,0.5,4,0.6,0.885
60,Cart - grain cart,each,100,6000,2000,6000,2000,8,6,70,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
61,Center pivot sprinkler,each,100,64448,15000,58589,15000,3,3.22,95,7,0.012,1.3,0.08,5,0.08,0.5,4,0.68,0.92
62,"Chain drag, drag, log drag, pipe drag, rail drag",each,100,5800,2250,5800,2250,10,6.2,80,0,0.19,1.3,0.08,5,0.08,0.5,4,0.6,0.885
63,Chem appl (rented) 60 ft,each,100,24,1,24,1,18.3,6.44,75,0,0.41,1.3,0.08,5,0.08,0.5,4,0,0
64,Chem appl att to impl,each,100,2512,1200,2284,1200,3,7.24,70,0,0.41,1.3,0.08,5,0.08,0.5,4,0.6,0.885
65,Chem appl ge30ft trlr mtd,each,100,7370,1500,6700,1500,11,7.24,65,0,0.41,1.3,0.08,5,0.08,0.5,4,0.6,0.885
66,Chem appl lg self-prop,each,100,33989,2000,30899,2000,9.1,10.46,65,75,0.41,1.3,0.08,5,0.08,0.5,4,0.56,0.885
67,Chisel,each,100,101975,5500,101975,5500,8,6,70,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
68,Chisel 180hp,each,100,12000,2000,12000,2000,8,6,70,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
69,Chisel disk,each,100,6600,1200,6600,1200,20,5,80,0,0.17,2.2,0.08,5,0.08,0.5,4,0.6,0.885
70,Chisel plow,each,100,5000,2000,5000,2000,15,9,85,0,0.43,1.8,0.08,3,0.08,0.5,4,0.6,0.885
71,Chisel plow 25 ft,each,100,15950,1500,15950,1500,25,6,80,0,0.18,1.7,0.08,5,0.08,0.5,4,0.6,0.885
72,Chisel plow le15ft,each,100,14300,2000,13000,2000,4.3,7.24,85,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
73,Chiseling,each,100,6000,2000,6000,2000,9,5,85,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
74,Chiseling 25 ft,each,100,5000,2000,5000,2000,25,6,70,0,0.43,1.8,0.08,3,0.08,0.5,4,0.6,0.885
75,Chopper - chopper,each,100,6000,1200,6000,1200,9,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.56,0.885
76,Chopper - chopper & boxes,each,100,6000,1200,6000,1200,9,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.56,0.885
77,Chopper - chopper 2 row,each,100,6000,1200,6000,1200,9,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.56,0.885
78,Chopper - chopper boxes,each,100,6000,1200,6000,1200,9,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.56,0.885
