Code	DM	TDN	DE	ME	NEm	NEg	Sugar	Starch	Fat	NDF	Carb	protein	RDP	RUP	Ash     Animal feed
	% AF	% of DM	---------Mcal/kg-----------	------------------% of DM---------------------- % CP	% CP    % DM

37	83.28	84.60	3.73	3.06	2.08	1.41	0.00	60.68	3.60	19.41	86.43	8.28	36.27	63.59	1.69	Corn_Ear_Corn
38	62.54	84.30	3.72	3.05	2.07	1.41	1.29	60.16	3.54	21.04	86.51	8.09	51.28	48.63	1.86	Corn_Earlage
39	90.59	78.60	3.46	2.84	1.90	1.26	0.00	19.67	11.50	39.41	62.05	22.14	52.21	47.80	4.31	Corn_Germ_Meal
40	50.44	89.00	0.00	3.22	2.21	1.52	0.00	11.50	8.70	29.28	62.35	24.55	32.00	67.93	4.40	CGFDGS
41	43.76	86.00	3.79	3.11	2.12	1.45	3.40	15.23	4.29	38.53	67.61	21.70	65.70	34.11	6.40	Corn_Gluten_Feed_Wet
42	60.07	89.00	3.92	3.22	2.21	1.52	0.00	0.00	4.65	26.75	63.59	23.76	32.00	67.93	8.00	CGFWSB
43	88.92	80.00	3.53	2.89	1.94	1.30	2.68	16.92	4.18	35.05	64.98	25.28	63.69	37.10	8.20	Corn_Gluten_Feed_Dry
44	90.40	87.80	3.87	3.17	2.17	1.49	0.23	15.42	2.40	8.07	26.48	68.21	29.99	69.72	2.91	Corn_Gluten_Meal
45	87.22	87.60	3.86	3.17	2.17	1.49	1.81	72.07	3.81	9.72	85.96	8.79	34.60	65.31	1.44	Corn_Grain_Dry_Rolled
46	70.54	90.40	3.98	3.27	2.25	1.56	2.16	71.30	3.93	9.86	85.79	8.75	44.62	55.30	1.53	Corn_Grain_High_Moisture
47	80.70	95.00	4.19	3.43	2.38	1.67	0.00	76.24	3.19	8.97	87.07	8.48	29.50	70.36	1.26	Corn_Grain_Steamed_Flaked
48	34.29	67.30	2.97	2.43	1.55	0.95	0.00	33.44	2.87	42.07	85.27	7.82	59.27	40.68	4.04	Corn_Greenchop
49	86.15	72.80	0.00	2.63	1.72	1.10	2.80	67.74	3.32	14.76	85.97	8.84	48.00	52.00	1.87	Corn_Screenings
50	33.07	67.70	2.98	2.45	1.56	0.96	4.26	32.58	3.25	42.98	84.27	8.24	74.52	25.38	4.24	Corn_Silage
