State|County|ID| Polygon Point Coordinates
MD|Caroline|1|-75.829838,39.110094 -75.829838,39.099997 -75.839786,39.099997 -75.836197,39.10601 -75.835197,39.108212 -75.831993,39.10881 -75.829838,39.110094
MD|Caroline|2|-75.829838,39.099997 -75.829838,39.094063 -75.84203,39.094063 -75.841293,39.095814 -75.839897,39.099812 -75.839786,39.099997 -75.829838,39.099997
MD|Caroline|3|-75.819675,39.11597 -75.819675,39.106964 -75.829838,39.106964 -75.829838,39.110094 -75.827293,39.11161 -75.823196,39.114914 -75.819675,39.11597
MD|Caroline|4|-75.819675,39.106964 -75.819675,39.100514 -75.829838,39.100514 -75.829838,39.106964 -75.819675,39.106964
MD|Caroline|5|-75.819675,39.100514 -75.819675,39.094063 -75.829838,39.094063 -75.829838,39.100514 -75.819675,39.100514
MD|Caroline|6|-75.806568,39.122361 -75.806568,39.11407 -75.819675,39.11407 -75.819675,39.11597 -75.818199,39.116413 -75.815399,39.118313 -75.810196,39.120213 -75.806568,39.122361
MD|Caroline|7|-75.806568,39.11407 -75.806568,39.109068 -75.819675,39.109068 -75.819675,39.11407 -75.806568,39.11407
MD|Caroline|8|-75.806568,39.109068 -75.806568,39.104067 -75.819675,39.104067 -75.819675,39.109068 -75.806568,39.109068
MD|Caroline|9|-75.819675,39.104067 -75.813122,39.104067 -75.813122,39.094063 -75.819675,39.094063 -75.819675,39.104067
MD|Caroline|10|-75.813122,39.104067 -75.806568,39.104067 -75.806568,39.094063 -75.813122,39.094063 -75.813122,39.104067
MD|Caroline|11|-75.838417,39.094063 -75.838417,39.08471 -75.848,39.08471 -75.848,39.087212 -75.846596,39.088913 -75.843399,39.090813 -75.84203,39.094063 -75.838417,39.094063
MD|Caroline|12|-75.838417,39.08471 -75.838417,39.077597 -75.847428,39.077597 -75.847496,39.080811 -75.848,39.084312 -75.848,39.08471 -75.838417,39.08471
MD|Caroline|13|-75.826473,39.094063 -75.826473,39.088574 -75.838417,39.088574 -75.838417,39.094063 -75.826473,39.094063
MD|Caroline|14|-75.838417,39.088574 -75.832445,39.088574 -75.832445,39.077597 -75.838417,39.077597 -75.838417,39.088574
MD|Caroline|15|-75.832445,39.088574 -75.826473,39.088574 -75.826473,39.077597 -75.832445,39.077597 -75.832445,39.088574
MD|Caroline|16|-75.818511,39.094063 -75.818511,39.08583 -75.826473,39.08583 -75.826473,39.094063 -75.818511,39.094063
MD|Caroline|17|-75.818511,39.08583 -75.818511,39.077597 -75.826473,39.077597 -75.826473,39.08583 -75.818511,39.08583
MD|Caroline|18|-75.806568,39.094063 -75.806568,39.088574 -75.818511,39.088574 -75.818511,39.094063 -75.806568,39.094063
MD|Caroline|19|-75.818511,39.088574 -75.81254,39.088574 -75.81254,39.077597 -75.818511,39.077597 -75.818511,39.088574
MD|Caroline|20|-75.81254,39.088574 -75.806568,39.088574 -75.806568,39.077597 -75.81254,39.077597 -75.81254,39.088574
MD|Caroline|21|-75.873967,39.051161 -75.871696,39.054012 -75.870094,39.056713 -75.866798,39.058411 -75.863495,39.059414 -75.862463,39.060133 -75.862463,39.051161 -75.873967,39.051161
MD|Caroline|22|-75.862463,39.060133 -75.860199,39.06171 -75.857498,39.06451 -75.856677,39.065047 -75.856677,39.051161 -75.862463,39.051161 -75.862463,39.060133
MD|Caroline|23|-75.846245,39.077597 -75.846245,39.06373 -75.856677,39.06373 -75.856677,39.065047 -75.854897,39.066212 -75.848495,39.072113 -75.847397,39.076111 -75.847428,39.077597 -75.846245,39.077597
MD|Caroline|24|-75.846245,39.06373 -75.846245,39.057445 -75.856677,39.057445 -75.856677,39.06373 -75.846245,39.06373
MD|Caroline|25|-75.846245,39.057445 -75.846245,39.051161 -75.856677,39.051161 -75.856677,39.057445 -75.846245,39.057445
MD|Caroline|26|-75.846245,39.077597 -75.840046,39.077597 -75.840046,39.067022 -75.846245,39.067022 -75.846245,39.077597
MD|Caroline|27|-75.840046,39.077597 -75.833846,39.077597 -75.833846,39.067022 -75.840046,39.067022 -75.840046,39.077597
