State|County|ID| Polygon Point Coordinates
MD|Baltimore|1|-76.783394,39.720913 -76.782074,39.720902 -76.782074,39.711398 -76.790586,39.711398 -76.787598,39.720512 -76.785599,39.720814 -76.783394,39.720913
MD|Baltimore|2|-76.782074,39.711398 -76.782074,39.704678 -76.793339,39.704678 -76.793098,39.705311 -76.791794,39.707714 -76.790586,39.711398 -76.782074,39.711398
MD|Baltimore|3|-76.796904,39.694669 -76.794998,39.700314 -76.793339,39.704678 -76.788624,39.704678 -76.788624,39.694669 -76.796904,39.694669
MD|Baltimore|4|-76.788624,39.704678 -76.782074,39.704678 -76.782074,39.694669 -76.788624,39.694669 -76.788624,39.704678
MD|Baltimore|5|-76.782074,39.720902 -76.775829,39.720848 -76.775829,39.710378 -76.782074,39.710378 -76.782074,39.720902
MD|Baltimore|6|-76.775829,39.720848 -76.771797,39.720814 -76.769555,39.720822 -76.769555,39.710378 -76.775829,39.710378 -76.775829,39.720848
MD|Baltimore|7|-76.769555,39.710378 -76.769555,39.705141 -76.782074,39.705141 -76.782074,39.710378 -76.769555,39.710378
MD|Baltimore|8|-76.782074,39.705141 -76.775815,39.705141 -76.775815,39.694669 -76.782074,39.694669 -76.782074,39.705141
MD|Baltimore|9|-76.775815,39.705141 -76.769555,39.705141 -76.769555,39.694669 -76.775815,39.694669 -76.775815,39.705141
MD|Baltimore|10|-76.800765,39.685021 -76.798599,39.690811 -76.797295,39.693512 -76.796904,39.694669 -76.792092,39.694669 -76.792092,39.685021 -76.800765,39.685021
MD|Baltimore|11|-76.792092,39.694669 -76.785297,39.694669 -76.785297,39.685021 -76.792092,39.685021 -76.792092,39.694669
MD|Baltimore|12|-76.80511,39.673846 -76.804794,39.674713 -76.8032,39.678513 -76.800765,39.685021 -76.797031,39.685021 -76.797031,39.673846 -76.80511,39.673846
MD|Baltimore|13|-76.797031,39.685021 -76.791164,39.685021 -76.791164,39.673846 -76.797031,39.673846 -76.797031,39.685021
MD|Baltimore|14|-76.791164,39.685021 -76.785297,39.685021 -76.785297,39.673846 -76.791164,39.673846 -76.791164,39.685021
MD|Baltimore|15|-76.785297,39.694669 -76.777426,39.694669 -76.777426,39.68634 -76.785297,39.68634 -76.785297,39.694669
MD|Baltimore|16|-76.777426,39.694669 -76.769555,39.694669 -76.769555,39.68634 -76.777426,39.68634 -76.777426,39.694669
MD|Baltimore|17|-76.785297,39.68634 -76.78005,39.68634 -76.78005,39.673846 -76.785297,39.673846 -76.785297,39.68634
MD|Baltimore|18|-76.769555,39.68634 -76.769555,39.680093 -76.78005,39.680093 -76.78005,39.68634 -76.769555,39.68634
MD|Baltimore|19|-76.769555,39.680093 -76.769555,39.673846 -76.78005,39.673846 -76.78005,39.680093 -76.769555,39.680093
MD|Baltimore|20|-76.801201,39.673846 -76.801201,39.662794 -76.809213,39.662794 -76.807999,39.665913 -76.80511,39.673846 -76.801201,39.673846
MD|Baltimore|21|-76.801201,39.662794 -76.801201,39.6558 -76.811936,39.6558 -76.809213,39.662794 -76.801201,39.662794
MD|Baltimore|22|-76.790303,39.673846 -76.790303,39.667831 -76.801201,39.667831 -76.801201,39.673846 -76.790303,39.673846
MD|Baltimore|23|-76.790303,39.667831 -76.790303,39.661816 -76.801201,39.661816 -76.801201,39.667831 -76.790303,39.667831
MD|Baltimore|24|-76.790303,39.661816 -76.790303,39.6558 -76.801201,39.6558 -76.801201,39.661816 -76.790303,39.661816
MD|Baltimore|25|-76.804817,39.6558 -76.804817,39.648171 -76.814831,39.648171 -76.813995,39.650513 -76.811936,39.6558 -76.804817,39.6558
MD|Baltimore|26|-76.804817,39.648171 -76.804817,39.64225 -76.816945,39.64225 -76.814831,39.648171 -76.804817,39.648171
MD|Baltimore|27|-76.804817,39.6558 -76.799979,39.6558 -76.799979,39.64225 -76.804817,39.64225 -76.804817,39.6558
MD|Baltimore|28|-76.790303,39.6558 -76.790303,39.649025 -76.799979,39.649025 -76.799979,39.6558 -76.790303,39.6558
MD|Baltimore|29|-76.790303,39.649025 -76.790303,39.64225 -76.799979,39.64225 -76.799979,39.649025 -76.790303,39.649025
MD|Baltimore|30|-76.782004,39.673846 -76.782004,39.665947 -76.790303,39.665947 -76.790303,39.673846 -76.782004,39.673846
MD|Baltimore|31|-76.782004,39.665947 -76.782004,39.658048 -76.790303,39.658048 -76.790303,39.665947 -76.782004,39.665947
MD|Baltimore|32|-76.769555,39.673846 -76.769555,39.66858 -76.782004,39.66858 -76.782004,39.673846 -76.769555,39.673846
MD|Baltimore|33|-76.782004,39.66858 -76.775779,39.66858 -76.775779,39.658048 -76.782004,39.658048 -76.782004,39.66858
MD|Baltimore|34|-76.775779,39.66858 -76.769555,39.66858 -76.769555,39.658048 -76.775779,39.658048 -76.775779,39.66858
MD|Baltimore|35|-76.782004,39.658048 -76.782004,39.650149 -76.790303,39.650149 -76.790303,39.658048 -76.782004,39.658048
MD|Baltimore|36|-76.782004,39.650149 -76.782004,39.64225 -76.790303,39.64225 -76.790303,39.650149 -76.782004,39.650149
MD|Baltimore|37|-76.769555,39.658048 -76.769555,39.652782 -76.782004,39.652782 -76.782004,39.658048 -76.769555,39.658048
MD|Baltimore|38|-76.782004,39.652782 -76.775779,39.652782 -76.775779,39.64225 -76.782004,39.64225 -76.782004,39.652782
MD|Baltimore|39|-76.775779,39.652782 -76.769555,39.652782 -76.769555,39.64225 -76.775779,39.64225 -76.775779,39.652782
MD|Baltimore|40|-76.769555,39.720822 -76.762304,39.720851 -76.762304,39.711795 -76.769555,39.711795 -76.769555,39.720822
MD|Baltimore|41|-76.762304,39.720851 -76.755076,39.720879 -76.755076,39.711795 -76.762304,39.711795 -76.762304,39.720851
MD|Baltimore|42|-76.769555,39.711795 -76.762316,39.711795 -76.762316,39.702739 -76.769555,39.702739 -76.769555,39.711795
MD|Baltimore|43|-76.762316,39.711795 -76.755076,39.711795 -76.755076,39.702739 -76.762316,39.702739 -76.762316,39.711795
MD|Baltimore|44|-76.755076,39.720879 -76.746037,39.720914 -76.746037,39.713644 -76.755076,39.713644 -76.755076,39.720879
MD|Baltimore|45|-76.746037,39.720914 -76.737041,39.720949 -76.737041,39.713644 -76.746037,39.713644 -76.746037,39.720914
MD|Baltimore|46|-76.755076,39.713644 -76.749065,39.713644 -76.749065,39.702739 -76.755076,39.702739 -76.755076,39.713644
MD|Baltimore|47|-76.749065,39.713644 -76.743053,39.713644 -76.743053,39.702739 -76.749065,39.702739 -76.749065,39.713644
MD|Baltimore|48|-76.743053,39.713644 -76.737041,39.713644 -76.737041,39.702739 -76.743053,39.702739 -76.743053,39.713644
MD|Baltimore|49|-76.769555,39.702739 -76.761427,39.702739 -76.761427,39.694674 -76.769555,39.694674 -76.769555,39.702739
MD|Baltimore|50|-76.761427,39.702739 -76.753298,39.702739 -76.753298,39.694674 -76.761427,39.694674 -76.761427,39.702739
MD|Baltimore|51|-76.769555,39.694674 -76.764136,39.694674 -76.764136,39.682576 -76.769555,39.682576 -76.769555,39.694674
MD|Baltimore|52|-76.753298,39.694674 -76.753298,39.688625 -76.764136,39.688625 -76.764136,39.694674 -76.753298,39.694674
MD|Baltimore|53|-76.753298,39.688625 -76.753298,39.682576 -76.764136,39.682576 -76.764136,39.688625 -76.753298,39.688625
MD|Baltimore|54|-76.753298,39.702739 -76.74517,39.702739 -76.74517,39.694674 -76.753298,39.694674 -76.753298,39.702739
MD|Baltimore|55|-76.74517,39.702739 -76.737041,39.702739 -76.737041,39.694674 -76.74517,39.694674 -76.74517,39.702739
MD|Baltimore|56|-76.753298,39.694674 -76.747879,39.694674 -76.747879,39.682576 -76.753298,39.682576 -76.753298,39.694674
MD|Baltimore|57|-76.737041,39.694674 -76.737041,39.688625 -76.747879,39.688625 -76.747879,39.694674 -76.737041,39.694674
MD|Baltimore|58|-76.737041,39.688625 -76.737041,39.682576 -76.747879,39.682576 -76.747879,39.688625 -76.737041,39.688625
MD|Baltimore|59|-76.769555,39.682576 -76.761427,39.682576 -76.761427,39.674511 -76.769555,39.674511 -76.769555,39.682576
MD|Baltimore|60|-76.761427,39.682576 -76.753298,39.682576 -76.753298,39.674511 -76.761427,39.674511 -76.761427,39.682576
MD|Baltimore|61|-76.769555,39.674511 -76.764136,39.674511 -76.764136,39.662413 -76.769555,39.662413 -76.769555,39.674511
MD|Baltimore|62|-76.753298,39.674511 -76.753298,39.668462 -76.764136,39.668462 -76.764136,39.674511 -76.753298,39.674511
MD|Baltimore|63|-76.753298,39.668462 -76.753298,39.662413 -76.764136,39.662413 -76.764136,39.668462 -76.753298,39.668462
