State|County|ID| Polygon Point Coordinates
MD|Garrett|1|-79.467744,39.721186 -79.467744,39.713651 -79.476754,39.713651 -79.4767,39.716412 -79.475998,39.721111 -79.467744,39.721186
MD|Garrett|2|-79.467744,39.713651 -79.467744,39.706421 -79.47685,39.706421 -79.476799,39.711311 -79.476754,39.713651 -79.467744,39.713651
MD|Garrett|3|-79.45448,39.721305 -79.45448,39.716304 -79.467744,39.716304 -79.467744,39.721186 -79.45448,39.721305
MD|Garrett|4|-79.467744,39.716304 -79.461112,39.716304 -79.461112,39.706421 -79.467744,39.706421 -79.467744,39.716304
MD|Garrett|5|-79.461112,39.716304 -79.45448,39.716304 -79.45448,39.706421 -79.461112,39.706421 -79.461112,39.716304
MD|Garrett|6|-79.467915,39.706421 -79.467915,39.69911 -79.476884,39.69911 -79.476898,39.701813 -79.47685,39.706421 -79.467915,39.706421
MD|Garrett|7|-79.467915,39.69911 -79.467915,39.691786 -79.476845,39.691786 -79.476884,39.69911 -79.467915,39.69911
MD|Garrett|8|-79.45448,39.706421 -79.45448,39.701543 -79.467915,39.701543 -79.467915,39.706421 -79.45448,39.706421
MD|Garrett|9|-79.467915,39.701543 -79.461198,39.701543 -79.461198,39.691786 -79.467915,39.691786 -79.467915,39.701543
MD|Garrett|10|-79.461198,39.701543 -79.45448,39.701543 -79.45448,39.691786 -79.461198,39.691786 -79.461198,39.701543
MD|Garrett|11|-79.444699,39.721393 -79.444699,39.714648 -79.45448,39.714648 -79.45448,39.721305 -79.444699,39.721393
MD|Garrett|12|-79.444699,39.714648 -79.444699,39.707947 -79.45448,39.707947 -79.45448,39.714648 -79.444699,39.714648
MD|Garrett|13|-79.444699,39.721393 -79.439832,39.721437 -79.439832,39.707947 -79.444699,39.707947 -79.444699,39.721393
MD|Garrett|14|-79.430146,39.721516 -79.430146,39.714713 -79.439832,39.714713 -79.439832,39.721437 -79.431496,39.721512 -79.430146,39.721516
MD|Garrett|15|-79.430146,39.714713 -79.430146,39.707947 -79.439832,39.707947 -79.439832,39.714713 -79.430146,39.714713
MD|Garrett|16|-79.442313,39.707947 -79.442313,39.70256 -79.45448,39.70256 -79.45448,39.707947 -79.442313,39.707947
