State|County|ID| Polygon Point Coordinates
MD|Anne Arundel|1|-76.840492,39.103413 -76.8358,39.105621 -76.829175,39.109009 -76.829175,39.099911 -76.837718,39.099911 -76.838371,39.101158 -76.839195,39.101707 -76.840492,39.103413
MD|Anne Arundel|2|-76.820565,39.119453 -76.820565,39.107526 -76.829175,39.107526 -76.829175,39.109009 -76.827393,39.109921 -76.825294,39.116722 -76.820565,39.119453
MD|Anne Arundel|3|-76.820565,39.107526 -76.820565,39.099911 -76.829175,39.099911 -76.829175,39.107526 -76.820565,39.107526
MD|Anne Arundel|4|-76.811462,39.122667 -76.811462,39.114315 -76.820565,39.114315 -76.820565,39.119453 -76.81649,39.121807 -76.811462,39.122667
MD|Anne Arundel|5|-76.811462,39.114315 -76.811462,39.107113 -76.820565,39.107113 -76.820565,39.114315 -76.811462,39.114315
MD|Anne Arundel|6|-76.811462,39.107113 -76.811462,39.099911 -76.820565,39.099911 -76.820565,39.107113 -76.811462,39.107113
MD|Anne Arundel|7|-76.811462,39.122667 -76.809395,39.12302 -76.804742,39.122606 -76.804742,39.113065 -76.811462,39.113065 -76.811462,39.122667
MD|Anne Arundel|8|-76.804742,39.122606 -76.8004,39.122219 -76.79775,39.122762 -76.79775,39.113065 -76.804742,39.113065 -76.804742,39.122606
MD|Anne Arundel|9|-76.79775,39.122762 -76.796494,39.12302 -76.792397,39.124222 -76.791525,39.124779 -76.791525,39.113065 -76.79775,39.113065 -76.79775,39.122762
MD|Anne Arundel|10|-76.801493,39.113065 -76.801493,39.106488 -76.811462,39.106488 -76.811462,39.113065 -76.801493,39.113065
MD|Anne Arundel|11|-76.801493,39.106488 -76.801493,39.099911 -76.811462,39.099911 -76.811462,39.106488 -76.801493,39.106488
MD|Anne Arundel|12|-76.791525,39.113065 -76.791525,39.106488 -76.801493,39.106488 -76.801493,39.113065 -76.791525,39.113065
MD|Anne Arundel|13|-76.791525,39.106488 -76.791525,39.099911 -76.801493,39.099911 -76.801493,39.106488 -76.791525,39.106488
MD|Anne Arundel|14|-76.770383,39.159167 -76.770383,39.146702 -76.780621,39.146702 -76.777695,39.150707 -76.776199,39.152122 -76.77169,39.157806 -76.770383,39.159167
MD|Anne Arundel|15|-76.78477,39.136579 -76.784599,39.137421 -76.784195,39.140419 -76.782799,39.143723 -76.780621,39.146702 -76.77686,39.146702 -76.77686,39.136579 -76.78477,39.136579
MD|Anne Arundel|16|-76.77686,39.146702 -76.770383,39.146702 -76.770383,39.136579 -76.77686,39.136579 -76.77686,39.146702
MD|Anne Arundel|17|-76.77915,39.136579 -76.77915,39.127234 -76.788822,39.127234 -76.785881,39.131111 -76.78477,39.136579 -76.77915,39.136579
MD|Anne Arundel|18|-76.77915,39.127234 -76.77915,39.12162 -76.791525,39.12162 -76.791525,39.124779 -76.789894,39.12582 -76.788822,39.127234 -76.77915,39.127234
MD|Anne Arundel|19|-76.770383,39.136579 -76.770383,39.129099 -76.77915,39.129099 -76.77915,39.136579 -76.770383,39.136579
MD|Anne Arundel|20|-76.770383,39.129099 -76.770383,39.12162 -76.77915,39.12162 -76.77915,39.129099 -76.770383,39.129099
MD|Anne Arundel|21|-76.791525,39.12162 -76.784478,39.12162 -76.784478,39.112316 -76.791525,39.112316 -76.791525,39.12162
MD|Anne Arundel|22|-76.784478,39.12162 -76.777431,39.12162 -76.777431,39.112316 -76.784478,39.112316 -76.784478,39.12162
MD|Anne Arundel|23|-76.777431,39.12162 -76.770383,39.12162 -76.770383,39.112316 -76.777431,39.112316 -76.777431,39.12162
MD|Anne Arundel|24|-76.780954,39.112316 -76.780954,39.106114 -76.791525,39.106114 -76.791525,39.112316 -76.780954,39.112316
MD|Anne Arundel|25|-76.780954,39.106114 -76.780954,39.099911 -76.791525,39.099911 -76.791525,39.106114 -76.780954,39.106114
MD|Anne Arundel|26|-76.770383,39.112316 -76.770383,39.106114 -76.780954,39.106114 -76.780954,39.112316 -76.770383,39.112316
MD|Anne Arundel|27|-76.770383,39.106114 -76.770383,39.099911 -76.780954,39.099911 -76.780954,39.106114 -76.770383,39.106114
MD|Anne Arundel|28|-76.754231,39.172282 -76.754231,39.16308 -76.766626,39.16308 -76.761894,39.168007 -76.754593,39.17202 -76.754231,39.172282
MD|Anne Arundel|29|-76.770383,39.159167 -76.766626,39.16308 -76.761878,39.16308 -76.761878,39.154507 -76.770383,39.154507 -76.770383,39.159167
