State|County|ID| Polygon Point Coordinates
MD|St. Marys|1|-76.773821,38.508987 -76.773821,38.495759 -76.782989,38.495759 -76.77758,38.504303 -76.774773,38.508606 -76.773821,38.508987
MD|St. Marys|2|-76.773821,38.495759 -76.773821,38.489823 -76.786713,38.489823 -76.785683,38.491505 -76.782989,38.495759 -76.773821,38.495759
MD|St. Marys|3|-76.793998,38.477931 -76.786713,38.489823 -76.784844,38.489823 -76.784844,38.477931 -76.793998,38.477931
MD|St. Marys|4|-76.773821,38.489823 -76.773821,38.483877 -76.784844,38.483877 -76.784844,38.489823 -76.773821,38.489823
MD|St. Marys|5|-76.773821,38.483877 -76.773821,38.477931 -76.784844,38.477931 -76.784844,38.483877 -76.773821,38.483877
MD|St. Marys|6|-76.803815,38.46226 -76.802681,38.464203 -76.79628,38.474205 -76.794764,38.47668 -76.794764,38.46226 -76.803815,38.46226
MD|St. Marys|7|-76.786368,38.477931 -76.786368,38.470067 -76.794764,38.470067 -76.794764,38.47668 -76.793998,38.477931 -76.786368,38.477931
MD|St. Marys|8|-76.786368,38.470067 -76.786368,38.46226 -76.794764,38.46226 -76.794764,38.470067 -76.786368,38.470067
MD|St. Marys|9|-76.773821,38.477931 -76.773821,38.472707 -76.786368,38.472707 -76.786368,38.477931 -76.773821,38.477931
MD|St. Marys|10|-76.786368,38.472707 -76.780095,38.472707 -76.780095,38.46226 -76.786368,38.46226 -76.786368,38.472707
MD|St. Marys|11|-76.780095,38.472707 -76.773821,38.472707 -76.773821,38.46226 -76.780095,38.46226 -76.780095,38.472707
MD|St. Marys|12|-76.801139,38.46226 -76.801139,38.451173 -76.810287,38.451173 -76.803815,38.46226 -76.801139,38.46226
MD|St. Marys|13|-76.816871,38.440666 -76.813179,38.446705 -76.810677,38.450504 -76.810287,38.451173 -76.807378,38.451173 -76.807378,38.440666 -76.816871,38.440666
MD|St. Marys|14|-76.807378,38.451173 -76.801139,38.451173 -76.801139,38.440666 -76.807378,38.440666 -76.807378,38.451173
MD|St. Marys|15|-76.792033,38.46226 -76.792033,38.455062 -76.801139,38.455062 -76.801139,38.46226 -76.792033,38.46226
MD|St. Marys|16|-76.792033,38.455062 -76.792033,38.447864 -76.801139,38.447864 -76.801139,38.455062 -76.792033,38.455062
MD|St. Marys|17|-76.792033,38.447864 -76.792033,38.440666 -76.801139,38.440666 -76.801139,38.447864 -76.792033,38.447864
MD|St. Marys|18|-76.792033,38.46226 -76.785962,38.46226 -76.785962,38.451463 -76.792033,38.451463 -76.792033,38.46226
MD|St. Marys|19|-76.785962,38.46226 -76.779892,38.46226 -76.779892,38.451463 -76.785962,38.451463 -76.785962,38.46226
MD|St. Marys|20|-76.779892,38.46226 -76.773821,38.46226 -76.773821,38.451463 -76.779892,38.451463 -76.779892,38.46226
MD|St. Marys|21|-76.792033,38.451463 -76.785962,38.451463 -76.785962,38.440666 -76.792033,38.440666 -76.792033,38.451463
MD|St. Marys|22|-76.785962,38.451463 -76.779892,38.451463 -76.779892,38.440666 -76.785962,38.440666 -76.785962,38.451463
MD|St. Marys|23|-76.779892,38.451463 -76.773821,38.451463 -76.773821,38.440666 -76.779892,38.440666 -76.779892,38.451463
