State|County|ID| Polygon Point Coordinates
MD|Cecil|1|-76.224693,39.720314 -76.218895,39.721413 -76.214001,39.721356 -76.214001,39.714623 -76.222542,39.714623 -76.224594,39.717812 -76.224693,39.720314
MD|Cecil|2|-76.214001,39.721356 -76.210294,39.721314 -76.204222,39.721332 -76.204222,39.714623 -76.214001,39.714623 -76.214001,39.721356
MD|Cecil|3|-76.222542,39.714623 -76.213148,39.714623 -76.213148,39.701757 -76.2146,39.702412 -76.216896,39.706413 -76.219894,39.71051 -76.222542,39.714623
MD|Cecil|4|-76.204222,39.714623 -76.204222,39.707279 -76.213148,39.707279 -76.213148,39.714623 -76.204222,39.714623
MD|Cecil|5|-76.204222,39.707279 -76.204222,39.699404 -76.209682,39.699404 -76.211494,39.701012 -76.213148,39.701757 -76.213148,39.707279 -76.204222,39.707279
MD|Cecil|6|-76.204222,39.721332 -76.19824,39.72135 -76.19824,39.710382 -76.204222,39.710382 -76.204222,39.721332
MD|Cecil|7|-76.19824,39.72135 -76.192267,39.721368 -76.192267,39.710382 -76.19824,39.710382 -76.19824,39.72135
MD|Cecil|8|-76.192267,39.721368 -76.186305,39.721387 -76.186305,39.710382 -76.192267,39.710382 -76.192267,39.721368
MD|Cecil|9|-76.204222,39.710382 -76.198249,39.710382 -76.198249,39.699404 -76.204222,39.699404 -76.204222,39.710382
MD|Cecil|10|-76.198249,39.710382 -76.192277,39.710382 -76.192277,39.699404 -76.198249,39.699404 -76.198249,39.710382
MD|Cecil|11|-76.192277,39.710382 -76.186305,39.710382 -76.186305,39.699404 -76.192277,39.699404 -76.192277,39.710382
MD|Cecil|12|-76.186305,39.721387 -76.178847,39.721409 -76.178847,39.712607 -76.186305,39.712607 -76.186305,39.721387
MD|Cecil|13|-76.178847,39.721409 -76.171408,39.721432 -76.171408,39.712607 -76.178847,39.712607 -76.178847,39.721409
MD|Cecil|14|-76.186305,39.712607 -76.181339,39.712607 -76.181339,39.699404 -76.186305,39.699404 -76.186305,39.712607
MD|Cecil|15|-76.171408,39.712607 -76.171408,39.706006 -76.181339,39.706006 -76.181339,39.712607 -76.171408,39.712607
MD|Cecil|16|-76.171408,39.706006 -76.171408,39.699404 -76.181339,39.699404 -76.181339,39.706006 -76.171408,39.706006
MD|Cecil|17|-76.171408,39.721432 -76.165453,39.72145 -76.165453,39.710432 -76.171408,39.710432 -76.171408,39.721432
MD|Cecil|18|-76.165453,39.72145 -76.159508,39.721468 -76.159508,39.710432 -76.165453,39.710432 -76.165453,39.72145
MD|Cecil|19|-76.159508,39.721468 -76.153572,39.721486 -76.153572,39.710432 -76.159508,39.710432 -76.159508,39.721468
MD|Cecil|20|-76.171408,39.710432 -76.165463,39.710432 -76.165463,39.699404 -76.171408,39.699404 -76.171408,39.710432
MD|Cecil|21|-76.165463,39.710432 -76.159517,39.710432 -76.159517,39.699404 -76.165463,39.699404 -76.165463,39.710432
MD|Cecil|22|-76.159517,39.710432 -76.153572,39.710432 -76.153572,39.699404 -76.159517,39.699404 -76.159517,39.710432
MD|Cecil|23|-76.209682,39.699404 -76.197315,39.699404 -76.197315,39.692912 -76.205918,39.692912 -76.206497,39.694214 -76.207596,39.697113 -76.2089,39.698711 -76.209682,39.699404
MD|Cecil|24|-76.197315,39.699404 -76.187217,39.699404 -76.187217,39.692912 -76.197315,39.692912 -76.197315,39.699404
MD|Cecil|25|-76.205918,39.692912 -76.196082,39.692912 -76.196082,39.681578 -76.204094,39.688812 -76.205918,39.692912
MD|Cecil|26|-76.187217,39.692912 -76.187217,39.685517 -76.196082,39.685517 -76.196082,39.692912 -76.187217,39.692912
