State|County|ID| Polygon Point Coordinates
MD|Washington|1|-78.332041,39.711811 -78.332041,39.708997 -78.334198,39.709911 -78.333794,39.712112 -78.3321,39.711811 -78.332041,39.711811 -78.332041,39.722649 -78.332041,39.715451 -78.333893,39.718914 -78.337601,39.717712 -78.340096,39.716213 -78.343895,39.718311 -78.345299,39.72171 -78.338699,39.722511 -78.332041,39.722649
MD|Washington|2|-78.323375,39.722828 -78.323375,39.71517 -78.33189,39.71517 -78.332041,39.715451 -78.332041,39.722649 -78.323375,39.722828
MD|Washington|3|-78.323375,39.71517 -78.323375,39.704957 -78.3274,39.707314 -78.330894,39.708511 -78.332041,39.708997 -78.332041,39.711811 -78.330093,39.711811 -78.33189,39.71517 -78.323375,39.71517
MD|Washington|4|-78.323375,39.722828 -78.316246,39.722975 -78.316246,39.713705 -78.323375,39.713705 -78.323375,39.722828
MD|Washington|5|-78.316246,39.722975 -78.314499,39.723011 -78.309184,39.722964 -78.309184,39.713705 -78.316246,39.713705 -78.316246,39.722975
MD|Washington|6|-78.323375,39.713705 -78.316269,39.713705 -78.316269,39.704451 -78.32264,39.704451 -78.323296,39.70491 -78.323375,39.704957 -78.323375,39.713705
MD|Washington|7|-78.316269,39.713705 -78.309184,39.713705 -78.309184,39.704451 -78.316269,39.704451 -78.316269,39.713705
MD|Washington|8|-78.329231,39.677947 -78.341326,39.677947 -78.340996,39.67831 -78.338493,39.680012 -78.336296,39.680412 -78.330299,39.678513 -78.329231,39.677947 -78.316906,39.704451 -78.316906,39.693523 -78.319298,39.695911 -78.3181,39.698013 -78.3172,39.700111 -78.318199,39.702011 -78.321297,39.70351 -78.32264,39.704451 -78.316906,39.704451 -78.316906,39.689534 -78.316906,39.686246 -78.318199,39.686913 -78.322098,39.68811 -78.320595,39.689312 -78.3172,39.689213 -78.316906,39.689534 -78.316906,39.683874 -78.316906,39.677947 -78.320421,39.677947 -78.3209,39.678814 -78.319099,39.681614 -78.321999,39.684311 -78.317299,39.683613 -78.316906,39.683874
MD|Washington|9|-78.314132,39.704451 -78.314132,39.692741 -78.316696,39.693314 -78.316906,39.693523 -78.316906,39.704451 -78.314132,39.704451 -78.314132,39.692562 -78.314132,39.677947 -78.316906,39.677947 -78.316906,39.683874 -78.314896,39.685211 -78.316906,39.686246 -78.316906,39.689534 -78.314132,39.692562
MD|Washington|10|-78.314132,39.704451 -78.309184,39.704451 -78.309184,39.691198 -78.314132,39.691198 -78.314132,39.692562 -78.313995,39.692711 -78.314132,39.692741 -78.314132,39.704451
MD|Washington|11|-78.309184,39.691198 -78.309184,39.677947 -78.314132,39.677947 -78.314132,39.691198 -78.309184,39.691198
MD|Washington|12|-78.342995,39.676113 -78.341326,39.677947 -78.332837,39.677947 -78.332837,39.669325 -78.336092,39.669325 -78.337097,39.670811 -78.340195,39.672211 -78.341995,39.674313 -78.342995,39.676113
MD|Washington|13|-78.332837,39.677947 -78.329231,39.677947 -78.328598,39.677612 -78.326294,39.67691 -78.324878,39.677044 -78.324878,39.669325 -78.332837,39.669325 -78.332837,39.677947
MD|Washington|14|-78.316788,39.677947 -78.316788,39.669325 -78.324878,39.669325 -78.324878,39.677044 -78.323097,39.677212 -78.319794,39.676811 -78.320421,39.677947 -78.316788,39.677947
MD|Washington|15|-78.309184,39.677947 -78.309184,39.669325 -78.316788,39.669325 -78.316788,39.677947 -78.309184,39.677947
MD|Washington|16|-78.309184,39.722964 -78.303094,39.72291 -78.303094,39.712171 -78.309184,39.712171 -78.309184,39.722964
MD|Washington|17|-78.303094,39.72291 -78.296974,39.722856 -78.296974,39.712171 -78.303094,39.712171 -78.303094,39.72291
MD|Washington|18|-78.296974,39.722856 -78.290822,39.722801 -78.290822,39.712171 -78.296974,39.712171 -78.296974,39.722856
MD|Washington|19|-78.300003,39.712171 -78.300003,39.70503 -78.309184,39.70503 -78.309184,39.712171 -78.300003,39.712171
MD|Washington|20|-78.300003,39.70503 -78.300003,39.697889 -78.309184,39.697889 -78.309184,39.70503 -78.300003,39.70503
MD|Washington|21|-78.290822,39.712171 -78.290822,39.70503 -78.300003,39.70503 -78.300003,39.712171 -78.290822,39.712171
MD|Washington|22|-78.290822,39.70503 -78.290822,39.697889 -78.300003,39.697889 -78.300003,39.70503 -78.290822,39.70503
MD|Washington|23|-78.300003,39.697889 -78.300003,39.690748 -78.309184,39.690748 -78.309184,39.697889 -78.300003,39.697889
MD|Washington|24|-78.300003,39.690748 -78.300003,39.683607 -78.309184,39.683607 -78.309184,39.690748 -78.300003,39.690748
MD|Washington|25|-78.290822,39.697889 -78.290822,39.690748 -78.300003,39.690748 -78.300003,39.697889 -78.290822,39.697889
MD|Washington|26|-78.290822,39.690748 -78.290822,39.683607 -78.300003,39.683607 -78.300003,39.690748 -78.290822,39.690748
