State|County|ID| Polygon Point Coordinates
MD|Kent|1|-76.185914,39.31791 -76.18575,39.31916 -76.183281,39.320904 -76.18102,39.321524 -76.178543,39.322867 -76.17794,39.323086 -76.177022,39.323146 -76.176498,39.323437 -76.176009,39.323424 -76.174728,39.324051 -76.17372,39.325044 -76.173645,39.325378 -76.172895,39.326456 -76.172218,39.327751 -76.172039,39.328916 -76.172039,39.31791 -76.185914,39.31791
MD|Kent|2|-76.172039,39.328916 -76.172034,39.328947 -76.170387,39.3321 -76.16969,39.33227 -76.168581,39.332854 -76.167352,39.333159 -76.167352,39.31791 -76.172039,39.31791 -76.172039,39.328916
MD|Kent|3|-76.186646,39.315475 -76.186141,39.316174 -76.185914,39.31791 -76.176669,39.31791 -76.176669,39.310872 -76.18166,39.310872 -76.181929,39.310953 -76.183319,39.310982 -76.184953,39.311502 -76.186024,39.312462 -76.186455,39.313377 -76.186646,39.314308 -76.186646,39.315475
MD|Kent|4|-76.176669,39.31791 -76.167352,39.31791 -76.167352,39.310872 -76.176669,39.310872 -76.176669,39.31791
MD|Kent|5|-76.167352,39.333159 -76.162918,39.334259 -76.161766,39.334957 -76.160007,39.335757 -76.160007,39.325317 -76.167352,39.325317 -76.167352,39.333159
MD|Kent|6|-76.160007,39.335757 -76.159672,39.335909 -76.1576,39.335693 -76.155685,39.335812 -76.153732,39.335663 -76.153732,39.325317 -76.160007,39.325317 -76.160007,39.335757
MD|Kent|7|-76.153732,39.325317 -76.153732,39.320502 -76.167352,39.320502 -76.167352,39.325317 -76.153732,39.325317
MD|Kent|8|-76.167352,39.320502 -76.160542,39.320502 -76.160542,39.310872 -76.167352,39.310872 -76.167352,39.320502
MD|Kent|9|-76.160542,39.320502 -76.153732,39.320502 -76.153732,39.310872 -76.160542,39.310872 -76.160542,39.320502
MD|Kent|10|-76.13127,39.353233 -76.13127,39.334322 -76.131736,39.334026 -76.132878,39.334026 -76.132339,39.336281 -76.132362,39.337315 -76.133041,39.340111 -76.13353,39.341129 -76.134621,39.342293 -76.136047,39.342945 -76.1362,39.343468 -76.13678,39.343964 -76.136971,39.344414 -76.136878,39.34552 -76.136992,39.346743 -76.135869,39.349627 -76.134594,39.351449 -76.133374,39.352295 -76.131441,39.353171 -76.13127,39.353233 -76.145358,39.334026 -76.147914,39.334026 -76.145899,39.334471 -76.145524,39.334399 -76.145358,39.334026 -76.148393,39.334026 -76.153732,39.334026 -76.153732,39.335663 -76.153431,39.33564 -76.152802,39.335388 -76.15219,39.334696 -76.151401,39.334216 -76.148393,39.334026
MD|Kent|11|-76.127549,39.354719 -76.127549,39.33697 -76.128118,39.337015 -76.128455,39.336679 -76.129433,39.337029 -76.12977,39.336838 -76.129939,39.336386 -76.130486,39.335831 -76.130615,39.33474 -76.13127,39.334322 -76.13127,39.353233 -76.128438,39.354253 -76.127549,39.354719
MD|Kent|12|-76.138962,39.331429 -76.138962,39.327128 -76.141649,39.327128 -76.140762,39.327782 -76.139282,39.329617 -76.139266,39.331204 -76.138962,39.331429 -76.147941,39.327128 -76.153732,39.327128 -76.153732,39.334026 -76.148393,39.334026 -76.148021,39.334002 -76.147914,39.334026 -76.145358,39.334026 -76.14509,39.333424 -76.145144,39.33191 -76.144374,39.331561 -76.143394,39.327953 -76.143036,39.327545 -76.142662,39.3274 -76.142397,39.327269 -76.142455,39.327138 -76.143187,39.327327 -76.144145,39.328184 -76.144877,39.328343 -76.145835,39.328313 -76.147394,39.327612 -76.147865,39.327263 -76.147941,39.327128
MD|Kent|13|-76.127549,39.331228 -76.127549,39.327128 -76.138962,39.327128 -76.138962,39.331429 -76.137783,39.332299 -76.136263,39.332782 -76.133784,39.332785 -76.132169,39.333167 -76.129654,39.333721 -76.127739,39.332371 -76.127643,39.332167 -76.127961,39.331482 -76.127886,39.331308 -76.127549,39.331228 -76.132878,39.334026 -76.131736,39.334026 -76.131851,39.333952 -76.132508,39.333471 -76.13279,39.333616 -76.132903,39.333922 -76.132878,39.334026
MD|Kent|14|-76.142362,39.326733 -76.142362,39.325391 -76.143183,39.324764 -76.143578,39.324661 -76.144217,39.324836 -76.145062,39.325504 -76.145062,39.325692 -76.143318,39.326248 -76.142362,39.326733 -76.142362,39.321906 -76.142362,39.318013 -76.142685,39.318447 -76.142463,39.319188 -76.142652,39.319785 -76.143065,39.320178 -76.142914,39.320614 -76.143158,39.321342 -76.142362,39.321906 -76.142362,39.31798 -76.142362,39.316834 -76.146103,39.316834 -76.146085,39.317 -76.144112,39.317627 -76.142952,39.3176 -76.142462,39.317863 -76.142362,39.31798 -76.147941,39.327128 -76.148201,39.326664 -76.148142,39.325354 -76.147842,39.324684 -76.148179,39.324204 -76.147896,39.323783 -76.14846,39.323052 -76.149247,39.322659 -76.149454,39.322397 -76.148269,39.321627 -76.148026,39.321175 -76.147987,39.320652 -76.148437,39.320301 -76.147102,39.318848 -76.147797,39.317974 -76.147287,39.316925 -76.14729,39.316834 -76.153732,39.316834 -76.153732,39.327128 -76.147941,39.327128
