State|County|ID| Polygon Point Coordinates
MD|Somerset|1|-76.032274,38.125351 -76.032,38.124463 -76.031971,38.12357 -76.032522,38.122655 -76.032895,38.122312 -76.033243,38.122335 -76.033359,38.12261 -76.03304,38.123274 -76.033126,38.124144 -76.03356,38.125123 -76.033743,38.125123 -76.033884,38.123571 -76.034203,38.122426 -76.034029,38.121991 -76.033768,38.121785 -76.032899,38.121648 -76.032754,38.121281 -76.033102,38.120389 -76.033074,38.119359 -76.031741,38.117436 -76.031915,38.116474 -76.032438,38.115788 -76.032438,38.115559 -76.032392,38.115486 -76.041754,38.115486 -76.042313,38.115882 -76.043443,38.117507 -76.043414,38.118034 -76.042925,38.118491 -76.039713,38.118512 -76.039386,38.119109 -76.038682,38.119741 -76.038318,38.120344 -76.037217,38.120504 -76.036637,38.121282 -76.03626,38.121213 -76.036173,38.12103 -76.036406,38.119886 -76.036145,38.119863 -76.035471,38.120266 -76.035126,38.121512 -76.035358,38.122427 -76.035879,38.123183 -76.03585,38.123618 -76.035129,38.124235 -76.034427,38.125741 -76.033851,38.126175 -76.033446,38.126244 -76.032837,38.126038 -76.03249,38.125795 -76.032274,38.125351 -76.029482,38.122649 -76.029482,38.122189 -76.029562,38.122243 -76.029504,38.122632 -76.029482,38.122649 -76.029482,38.119825 -76.029482,38.115486 -76.030027,38.115486 -76.02997,38.115857 -76.030578,38.116452 -76.030607,38.117574 -76.030867,38.118192 -76.031997,38.119474 -76.031997,38.119909 -76.031624,38.120274 -76.031102,38.120411 -76.030808,38.121007 -76.030291,38.121304 -76.029798,38.120708 -76.029482,38.119825
MD|Somerset|2|-76.021821,38.133916 -76.021821,38.130678 -76.022108,38.130613 -76.023238,38.131186 -76.023035,38.13169 -76.021963,38.132607 -76.021962,38.132765 -76.022948,38.132765 -76.023208,38.132949 -76.023179,38.133109 -76.02185,38.133909 -76.021821,38.133916 -76.021821,38.129466 -76.021821,38.115486 -76.026861,38.115486 -76.02687,38.116176 -76.026319,38.117412 -76.025512,38.118133 -76.024812,38.119174 -76.022956,38.121211 -76.022956,38.12144 -76.024906,38.119929 -76.025163,38.119448 -76.026696,38.117793 -76.02725,38.116542 -76.027234,38.115486 -76.029482,38.115486 -76.029482,38.119825 -76.029133,38.118854 -76.027963,38.11832 -76.028433,38.11945 -76.028954,38.120022 -76.029041,38.120389 -76.028777,38.120464 -76.028697,38.120731 -76.028102,38.120681 -76.02794,38.121144 -76.029482,38.122189 -76.029482,38.122649 -76.028935,38.123072 -76.028866,38.123456 -76.028435,38.123707 -76.028001,38.123386 -76.027509,38.122287 -76.027509,38.121898 -76.027161,38.12144 -76.02666,38.121157 -76.025093,38.122249 -76.024462,38.123076 -76.024607,38.12389 -76.024375,38.124302 -76.024577,38.124576 -76.024291,38.124919 -76.02374,38.125351 -76.022876,38.125351 -76.02255,38.125679 -76.021868,38.125689 -76.022546,38.125944 -76.023183,38.126448 -76.024051,38.128027 -76.024196,38.129195 -76.024775,38.129951 -76.024717,38.130202 -76.024315,38.130545 -76.023069,38.130109 -76.02191,38.129445 -76.021821,38.129466
MD|Somerset|3|-76.037389,38.115486 -76.037389,38.104916 -76.043628,38.104916 -76.046487,38.106818 -76.048138,38.107367 -76.048746,38.107779 -76.049644,38.107642 -76.050253,38.10778 -76.049963,38.108398 -76.049358,38.108832 -76.048287,38.108648 -76.047794,38.108717 -76.046374,38.109404 -76.044144,38.109701 -76.043101,38.109655 -76.041855,38.11009 -76.040087,38.111486 -76.039305,38.111554 -76.038925,38.111855 -76.038925,38.112059 -76.039156,38.112173 -76.03962,38.11199 -76.040402,38.112196 -76.040721,38.112654 -76.040807,38.113593 -76.041039,38.113913 -76.041213,38.115103 -76.041754,38.115486 -76.037389,38.115486
MD|Somerset|4|-76.032392,38.115486 -76.032031,38.114918 -76.031423,38.114689 -76.031481,38.113636 -76.030903,38.111896 -76.030671,38.111761 -76.030671,38.109196 -76.030784,38.109196 -76.031856,38.108715 -76.032262,38.108967 -76.03229,38.109562 -76.032551,38.10986 -76.032733,38.10986 -76.033361,38.109423 -76.033483,38.108875 -76.032642,38.108348 -76.032317,38.107907 -76.031918,38.108371 -76.031657,38.108371 -76.031426,38.108165 -76.030671,38.108183 -76.030671,38.104916 -76.037389,38.104916 -76.037389,38.115486 -76.032392,38.115486
MD|Somerset|5|-76.030671,38.109196 -76.030671,38.111761 -76.03015,38.111461 -76.030117,38.111713 -76.029849,38.111718 -76.029889,38.111941 -76.028643,38.111964 -76.028035,38.111735 -76.026587,38.11091 -76.026355,38.110636 -76.026066,38.109537 -76.026381,38.109217 -76.02725,38.108943 -76.028003,38.10892 -76.028843,38.10844 -76.029336,38.108417 -76.029683,38.108532 -76.030465,38.109196 -76.030671,38.109196 -76.030671,38.104916 -76.030671,38.108183 -76.03047,38.108188 -76.029543,38.107729 -76.02876,38.108004 -76.02789,38.107372 -76.027656,38.108348 -76.027428,38.108576 -76.026617,38.108576 -76.026298,38.108141 -76.025197,38.107957 -76.024647,38.107179 -76.024387,38.106355 -76.023919,38.106222 -76.023774,38.106996 -76.023315,38.107316 -76.021953,38.106537 -76.022157,38.105942 -76.02207,38.105415 -76.021821,38.105356 -76.021821,38.104916 -76.030671,38.104916 -76.030027,38.115486 -76.027234,38.115486 -76.027222,38.114756 -76.027595,38.114231 -76.028609,38.113544 -76.029073,38.113567 -76.029449,38.113888 -76.02942,38.114071 -76.030086,38.115101 -76.030027,38.115486 -76.026861,38.115486 -76.021821,38.115486 -76.021821,38.108021 -76.022875,38.108896 -76.022875,38.109766 -76.023078,38.109972 -76.023715,38.109949 -76.024353,38.109377 -76.024613,38.109469 -76.024613,38.109904 -76.024207,38.110544 -76.024207,38.110911 -76.025134,38.111231 -76.026032,38.112239 -76.027219,38.112926 -76.027364,38.113155 -76.026842,38.114139 -76.026861,38.115486
MD|Somerset|6|-75.951972,38.176239 -75.951943,38.177223 -75.951566,38.178093 -75.950186,38.179971 -75.950186,38.174103 -75.951682,38.175553 -75.951972,38.176239 -75.950186,38.164118 -75.950186,38.145598 -75.955879,38.145598 -75.955357,38.148816 -75.954749,38.15099 -75.952663,38.156645 -75.951997,38.159781 -75.951273,38.161887 -75.950186,38.164118
MD|Somerset|7|-75.950186,38.145598 -75.950186,38.137381 -75.959578,38.137381 -75.959211,38.139682 -75.958661,38.141467 -75.956284,38.144649 -75.955907,38.145428 -75.955879,38.145598 -75.950186,38.145598
MD|Somerset|8|-76.018598,38.104916 -76.018216,38.105047 -76.018216,38.104916 -76.018598,38.104916 -76.021821,38.104916 -76.021821,38.105356 -76.019946,38.104916 -76.021821,38.104916 -76.020256,38.133107 -76.019433,38.132311 -76.01947,38.132833 -76.018894,38.133198 -76.018663,38.133061 -76.018216,38.131999 -76.018216,38.122186 -76.018556,38.121621 -76.018933,38.121248 -76.018933,38.120728 -76.019368,38.119607 -76.01934,38.118691 -76.018216,38.118135 -76.018216,38.115258 -76.018439,38.115395 -76.018555,38.116403 -76.018815,38.116723 -76.019684,38.117204 -76.020061,38.117296 -76.020318,38.117147 -76.020413,38.116906 -76.020181,38.115807 -76.02053,38.113999 -76.020733,38.113656 -76.02056,38.112648 -76.02085,38.112236 -76.02114,38.110199 -76.020793,38.109238 -76.020794,38.108665 -76.02137,38.107934 -76.021717,38.107934 -76.021821,38.108021 -76.021821,38.129466 -76.020966,38.129672 -76.020747,38.130224 -76.020805,38.130453 -76.0215,38.130751 -76.021821,38.130678 -76.021821,38.133916 -76.02127,38.134046 -76.020662,38.133885 -76.020256,38.133107
MD|Somerset|9|-76.018216,38.105047 -76.018015,38.105116 -76.017895,38.104916 -76.018216,38.104916 -76.018216,38.105047 -76.018216,38.115258 -76.018216,38.118135 -76.018181,38.118118 -76.017457,38.117225 -76.017139,38.116424 -76.01714,38.1156 -76.01757,38.115143 -76.018179,38.115235 -76.018216,38.115258 -76.018216,38.131999 -76.0182,38.131962 -76.017562,38.131595 -76.016722,38.131664 -76.016519,38.131435 -76.016607,38.129855 -76.01641,38.129247 -76.016284,38.129741 -76.015646,38.130748 -76.015559,38.131962 -76.014983,38.132441 -76.012259,38.131959 -76.012057,38.130677 -76.012088,38.12777 -76.012,38.127511 -76.012,38.121974 -76.01354,38.120613 -76.01525,38.119926 -76.016525,38.119767 -76.017133,38.120065 -76.017162,38.120454 -76.016611,38.121415 -76.016436,38.122079 -76.015915,38.122765 -76.015218,38.124792 -76.015999,38.124713 -76.016493,38.124116 -76.017333,38.123652 -76.018216,38.122186 -76.018216,38.131999
MD|Somerset|10|-75.950186,38.137381 -75.950186,38.127082 -75.950542,38.127093 -75.951556,38.127619 -75.955585,38.130297 -75.95657,38.131281 -75.956918,38.132036 -75.957324,38.133707 -75.958978,38.135813 -75.959616,38.137141 -75.959578,38.137381 -75.950186,38.137381 -76.012,38.121974 -76.012,38.127511 -76.011265,38.125351 -76.011195,38.124182 -76.011398,38.12393 -76.011833,38.122122 -76.012,38.121974
