State|County|ID| Polygon Point Coordinates
MD|Harford|1|-76.570297,39.72121 -76.564115,39.721255 -76.564115,39.709752 -76.569346,39.709752 -76.570297,39.72121
MD|Harford|2|-76.552761,39.721338 -76.552761,39.715524 -76.564115,39.715524 -76.564115,39.721255 -76.552761,39.721338
MD|Harford|3|-76.552761,39.715524 -76.552761,39.709752 -76.564115,39.709752 -76.564115,39.715524 -76.552761,39.715524
MD|Harford|4|-76.56073,39.709752 -76.56073,39.701845 -76.56869,39.701845 -76.569346,39.709752 -76.56073,39.709752
MD|Harford|5|-76.56073,39.701845 -76.56073,39.693305 -76.568168,39.693305 -76.568497,39.699512 -76.56869,39.701845 -76.56073,39.701845
MD|Harford|6|-76.552761,39.709752 -76.552761,39.701528 -76.56073,39.701528 -76.56073,39.709752 -76.552761,39.709752
MD|Harford|7|-76.552761,39.701528 -76.552761,39.693305 -76.56073,39.693305 -76.56073,39.701528 -76.552761,39.701528
MD|Harford|8|-76.552761,39.721338 -76.547302,39.721377 -76.547302,39.709352 -76.552761,39.709352 -76.552761,39.721338
MD|Harford|9|-76.542397,39.721413 -76.536425,39.721402 -76.536425,39.715377 -76.547302,39.715377 -76.547302,39.721377 -76.542397,39.721413
MD|Harford|10|-76.536425,39.715377 -76.536425,39.709352 -76.547302,39.709352 -76.547302,39.715377 -76.536425,39.715377
MD|Harford|11|-76.544593,39.709352 -76.544593,39.701328 -76.552761,39.701328 -76.552761,39.709352 -76.544593,39.709352
MD|Harford|12|-76.544593,39.701328 -76.544593,39.693305 -76.552761,39.693305 -76.552761,39.701328 -76.544593,39.701328
MD|Harford|13|-76.536425,39.709352 -76.536425,39.701328 -76.544593,39.701328 -76.544593,39.709352 -76.536425,39.709352
MD|Harford|14|-76.536425,39.701328 -76.536425,39.693305 -76.544593,39.693305 -76.544593,39.701328 -76.536425,39.701328
MD|Harford|15|-76.568168,39.693305 -76.562583,39.693305 -76.562583,39.680987 -76.567523,39.680987 -76.567696,39.684914 -76.568092,39.687412 -76.5681,39.692013 -76.568168,39.693305
MD|Harford|16|-76.551943,39.693305 -76.551943,39.687146 -76.562583,39.687146 -76.562583,39.693305 -76.551943,39.693305
MD|Harford|17|-76.551943,39.687146 -76.551943,39.680987 -76.562583,39.680987 -76.562583,39.687146 -76.551943,39.687146
MD|Harford|18|-76.567523,39.680987 -76.559639,39.680987 -76.559639,39.672472 -76.567148,39.672472 -76.567523,39.680987
MD|Harford|19|-76.559639,39.680987 -76.551943,39.680987 -76.551943,39.672472 -76.559639,39.672472 -76.559639,39.680987
MD|Harford|20|-76.567148,39.672472 -76.559449,39.672472 -76.559449,39.663742 -76.566764,39.663742 -76.567148,39.672472
MD|Harford|21|-76.559449,39.672472 -76.551943,39.672472 -76.551943,39.663742 -76.559449,39.663742 -76.559449,39.672472
MD|Harford|22|-76.551943,39.693305 -76.54677,39.693305 -76.54677,39.680635 -76.551943,39.680635 -76.551943,39.693305
MD|Harford|23|-76.536425,39.693305 -76.536425,39.68697 -76.54677,39.68697 -76.54677,39.693305 -76.536425,39.693305
MD|Harford|24|-76.536425,39.68697 -76.536425,39.680635 -76.54677,39.680635 -76.54677,39.68697 -76.536425,39.68697
MD|Harford|25|-76.551943,39.680635 -76.544184,39.680635 -76.544184,39.672188 -76.551943,39.672188 -76.551943,39.680635
MD|Harford|26|-76.544184,39.680635 -76.536425,39.680635 -76.536425,39.672188 -76.544184,39.672188 -76.544184,39.680635
MD|Harford|27|-76.551943,39.672188 -76.544184,39.672188 -76.544184,39.663742 -76.551943,39.663742 -76.551943,39.672188
MD|Harford|28|-76.544184,39.672188 -76.536425,39.672188 -76.536425,39.663742 -76.544184,39.663742 -76.544184,39.672188
MD|Harford|29|-76.536425,39.721402 -76.530936,39.721393 -76.530936,39.709458 -76.536425,39.709458 -76.536425,39.721402
MD|Harford|30|-76.530936,39.721393 -76.519945,39.721374 -76.519945,39.715421 -76.530936,39.715421 -76.530936,39.721393
MD|Harford|31|-76.519945,39.715421 -76.519945,39.709458 -76.530936,39.709458 -76.530936,39.715421 -76.519945,39.715421
MD|Harford|32|-76.528185,39.709458 -76.528185,39.701505 -76.536425,39.701505 -76.536425,39.709458 -76.528185,39.709458
MD|Harford|33|-76.528185,39.701505 -76.528185,39.693552 -76.536425,39.693552 -76.536425,39.701505 -76.528185,39.701505
MD|Harford|34|-76.519945,39.709458 -76.519945,39.701505 -76.528185,39.701505 -76.528185,39.709458 -76.519945,39.709458
MD|Harford|35|-76.519945,39.701505 -76.519945,39.693552 -76.528185,39.693552 -76.528185,39.701505 -76.519945,39.701505
MD|Harford|36|-76.519945,39.721374 -76.514451,39.721365 -76.514451,39.709442 -76.519945,39.709442 -76.519945,39.721374
MD|Harford|37|-76.514451,39.721365 -76.503449,39.721346 -76.503449,39.715399 -76.514451,39.715399 -76.514451,39.721365
MD|Harford|38|-76.503449,39.715399 -76.503449,39.709442 -76.514451,39.709442 -76.514451,39.715399 -76.503449,39.715399
MD|Harford|39|-76.511697,39.709442 -76.511697,39.701497 -76.519945,39.701497 -76.519945,39.709442 -76.511697,39.709442
MD|Harford|40|-76.511697,39.701497 -76.511697,39.693552 -76.519945,39.693552 -76.519945,39.701497 -76.511697,39.701497
MD|Harford|41|-76.503449,39.709442 -76.503449,39.701497 -76.511697,39.701497 -76.511697,39.709442 -76.503449,39.709442
MD|Harford|42|-76.503449,39.701497 -76.503449,39.693552 -76.511697,39.693552 -76.511697,39.701497 -76.503449,39.701497
