State|County|ID| Polygon Point Coordinates
MD|Howard|1|-77.186063,39.341478 -77.185394,39.343212 -77.182899,39.34621 -77.180298,39.347012 -77.174366,39.350629 -77.174366,39.341478 -77.186063,39.341478
MD|Howard|2|-77.174366,39.350629 -77.172096,39.352013 -77.168999,39.354511 -77.168479,39.354306 -77.168479,39.341478 -77.174366,39.341478 -77.174366,39.350629
MD|Howard|3|-77.186897,39.339314 -77.186063,39.341478 -77.177104,39.341478 -77.177104,39.333876 -77.183821,39.333876 -77.185394,39.336411 -77.186897,39.339314
MD|Howard|4|-77.177104,39.341478 -77.168479,39.341478 -77.168479,39.333876 -77.177104,39.333876 -77.177104,39.341478
MD|Howard|5|-77.168479,39.354306 -77.162154,39.35181 -77.162154,39.342693 -77.168479,39.342693 -77.168479,39.354306
MD|Howard|6|-77.162154,39.35181 -77.1614,39.351513 -77.156097,39.349712 -77.153608,39.349173 -77.153608,39.342693 -77.162154,39.342693 -77.162154,39.35181
MD|Howard|7|-77.168479,39.342693 -77.161043,39.342693 -77.161043,39.333876 -77.168479,39.333876 -77.168479,39.342693
MD|Howard|8|-77.161043,39.342693 -77.153608,39.342693 -77.153608,39.333876 -77.161043,39.333876 -77.161043,39.342693
MD|Howard|9|-77.183821,39.333876 -77.172999,39.333876 -77.172999,39.3262 -77.178657,39.3262 -77.179298,39.326813 -77.181496,39.329514 -77.183098,39.33271 -77.183821,39.333876
MD|Howard|10|-77.172999,39.333876 -77.164458,39.333876 -77.164458,39.3262 -77.172999,39.3262 -77.172999,39.333876
MD|Howard|11|-77.164458,39.3262 -77.164458,39.320519 -77.173852,39.320519 -77.174194,39.321312 -77.176994,39.324612 -77.178657,39.3262 -77.164458,39.3262
MD|Howard|12|-77.164458,39.320519 -77.164458,39.309708 -77.16538,39.309708 -77.1661,39.310513 -77.169693,39.313213 -77.172295,39.316914 -77.173852,39.320519 -77.164458,39.320519
MD|Howard|13|-77.153608,39.333876 -77.153608,39.327834 -77.164458,39.327834 -77.164458,39.333876 -77.153608,39.333876
