State|County|ID| Polygon Point Coordinates
MD|Charles|1|-77.246742,38.537407 -77.246628,38.53839 -77.245895,38.540588 -77.243762,38.544245 -77.242148,38.545645 -77.237724,38.551868 -77.236382,38.552787 -77.235306,38.553333 -77.23509,38.553375 -77.23509,38.545258 -77.236114,38.545376 -77.236847,38.545143 -77.238182,38.544342 -77.240746,38.542305 -77.241623,38.542099 -77.242142,38.541641 -77.242928,38.540245 -77.243309,38.538895 -77.24572,38.537064 -77.245636,38.536766 -77.245255,38.536423 -77.245696,38.536368 -77.246422,38.53656 -77.246742,38.537407
MD|Charles|2|-77.226022,38.547429 -77.226022,38.545992 -77.226241,38.545992 -77.226022,38.547429 -77.23509,38.553375 -77.230615,38.554252 -77.226022,38.554295 -77.226022,38.547771 -77.227463,38.548946 -77.22773,38.549427 -77.227463,38.550343 -77.227875,38.55043 -77.228256,38.550205 -77.228424,38.549835 -77.229065,38.549267 -77.229065,38.547207 -77.227928,38.547184 -77.227257,38.546726 -77.227318,38.545994 -77.227319,38.545992 -77.23509,38.545992 -77.23509,38.553375
MD|Charles|3|-77.226022,38.545992 -77.226022,38.534538 -77.234143,38.534538 -77.233543,38.535927 -77.233574,38.536633 -77.231918,38.536064 -77.230431,38.53627 -77.230225,38.536659 -77.230835,38.537186 -77.230896,38.537552 -77.231712,38.538445 -77.231506,38.539837 -77.23288,38.540661 -77.233109,38.540913 -77.233261,38.541576 -77.233086,38.542103 -77.232651,38.542423 -77.232178,38.542561 -77.230667,38.542126 -77.229179,38.542812 -77.228485,38.543659 -77.227379,38.544529 -77.226883,38.545311 -77.226273,38.545788 -77.226241,38.545992 -77.226022,38.545992 -77.23509,38.545992 -77.227319,38.545992 -77.228661,38.544506 -77.22982,38.543865 -77.230461,38.543819 -77.231071,38.544003 -77.231918,38.544941 -77.232826,38.544872 -77.233665,38.545307 -77.234718,38.545216 -77.23509,38.545258 -77.23509,38.545992
MD|Charles|4|-77.226022,38.554295 -77.225662,38.554298 -77.222982,38.55469 -77.221117,38.555217 -77.220447,38.554805 -77.219434,38.55445 -77.219434,38.544735 -77.226022,38.544735 -77.226022,38.547429 -77.225975,38.547733 -77.226022,38.547771 -77.226022,38.554295
MD|Charles|5|-77.219434,38.55445 -77.219078,38.554325 -77.217795,38.554348 -77.217329,38.554531 -77.216949,38.555103 -77.216949,38.555698 -77.216804,38.55579 -77.213539,38.555607 -77.213165,38.555498 -77.213165,38.544735 -77.219434,38.544735 -77.219434,38.55445
MD|Charles|6|-77.226022,38.544735 -77.219593,38.544735 -77.219593,38.534538 -77.226022,38.534538 -77.226022,38.544735
MD|Charles|7|-77.219593,38.544735 -77.213165,38.544735 -77.213165,38.534538 -77.219593,38.534538 -77.219593,38.544735
MD|Charles|8|-77.197098,38.580365 -77.197098,38.570529 -77.209086,38.570529 -77.208448,38.571397 -77.207096,38.57265 -77.206924,38.57338 -77.205864,38.574493 -77.204146,38.575271 -77.200285,38.578201 -77.19769,38.579878 -77.197098,38.580365
MD|Charles|9|-77.197098,38.570529 -77.197098,38.565627 -77.198563,38.565544 -77.199524,38.565937 -77.200745,38.566128 -77.199287,38.565735 -77.198997,38.56535 -77.199068,38.565235 -77.200334,38.565235 -77.20063,38.565289 -77.202255,38.565365 -77.202417,38.565235 -77.208008,38.565235 -77.209518,38.56596 -77.209875,38.566619 -77.210156,38.567846 -77.210064,38.568665 -77.209351,38.570168 -77.209086,38.570529 -77.197098,38.570529
MD|Charles|10|-77.200334,38.565235 -77.199068,38.565235 -77.199196,38.565029 -77.200334,38.565235 -77.208008,38.565235 -77.202417,38.565235 -77.203194,38.56461 -77.203117,38.564068 -77.203247,38.56361 -77.20282,38.563168 -77.201843,38.562618 -77.197098,38.562618 -77.197098,38.562614 -77.200706,38.562458 -77.200577,38.562382 -77.200752,38.562038 -77.201653,38.561947 -77.203423,38.562618 -77.206162,38.5644 -77.206482,38.564217 -77.206711,38.563808 -77.207169,38.563614 -77.207519,38.563783 -77.207336,38.564648 -77.207587,38.565033 -77.208008,38.565235 -77.197098,38.550857 -77.213165,38.550857 -77.213165,38.555498 -77.212433,38.555286 -77.210716,38.55563 -77.209961,38.55547 -77.209114,38.55442 -77.208237,38.55378 -77.207306,38.553459 -77.205353,38.55307 -77.203781,38.553116 -77.202759,38.553322 -77.200111,38.554283 -77.198654,38.555267 -77.197891,38.555977 -77.197098,38.557308 -77.197098,38.550857
