State|County|ID| Polygon Point Coordinates
MD|Baltimore City|1|-76.701893,39.372106 -76.701893,39.365244 -76.711536,39.365244 -76.711394,39.370006 -76.711494,39.372106 -76.701893,39.372106
MD|Baltimore City|2|-76.701893,39.365244 -76.701893,39.358424 -76.711406,39.358424 -76.711594,39.363306 -76.711536,39.365244 -76.701893,39.365244
MD|Baltimore City|3|-76.701893,39.372106 -76.697095,39.372106 -76.697095,39.358424 -76.701893,39.358424 -76.701893,39.372106
MD|Baltimore City|4|-76.687499,39.372106 -76.687499,39.365265 -76.697095,39.365265 -76.697095,39.372106 -76.687499,39.372106
MD|Baltimore City|5|-76.687499,39.365265 -76.687499,39.358424 -76.697095,39.358424 -76.697095,39.365265 -76.687499,39.365265
MD|Baltimore City|6|-76.70177,39.358424 -76.70177,39.35152 -76.711347,39.35152 -76.711394,39.351706 -76.711394,39.353306 -76.711194,39.353706 -76.711194,39.356906 -76.711394,39.358106 -76.711406,39.358424 -76.70177,39.358424
MD|Baltimore City|7|-76.70177,39.35152 -76.70177,39.344624 -76.711194,39.344624 -76.711194,39.344806 -76.711394,39.349406 -76.711194,39.350906 -76.711347,39.35152 -76.70177,39.35152
MD|Baltimore City|8|-76.70177,39.358424 -76.697013,39.358424 -76.697013,39.344624 -76.70177,39.344624 -76.70177,39.358424
MD|Baltimore City|9|-76.687499,39.358424 -76.687499,39.351524 -76.697013,39.351524 -76.697013,39.358424 -76.687499,39.358424
MD|Baltimore City|10|-76.687499,39.351524 -76.687499,39.344624 -76.697013,39.344624 -76.697013,39.351524 -76.687499,39.351524
MD|Baltimore City|11|-76.687499,39.372106 -76.681093,39.372106 -76.680393,39.371906 -76.677922,39.372021 -76.677922,39.365208 -76.687499,39.365208 -76.687499,39.372106
MD|Baltimore City|12|-76.687499,39.365208 -76.677922,39.365208 -76.677922,39.358354 -76.687499,39.358354 -76.687499,39.365208
MD|Baltimore City|13|-76.677922,39.372021 -76.676092,39.372106 -76.673142,39.372106 -76.673142,39.358354 -76.677922,39.358354 -76.677922,39.372021
MD|Baltimore City|14|-76.663595,39.372106 -76.663595,39.36523 -76.673142,39.36523 -76.673142,39.372106 -76.663595,39.372106
MD|Baltimore City|15|-76.663595,39.36523 -76.663595,39.358354 -76.673142,39.358354 -76.673142,39.36523 -76.663595,39.36523
MD|Baltimore City|16|-76.677938,39.358354 -76.677938,39.351489 -76.687499,39.351489 -76.687499,39.358354 -76.677938,39.358354
MD|Baltimore City|17|-76.677938,39.351489 -76.677938,39.344624 -76.687499,39.344624 -76.687499,39.351489 -76.677938,39.351489
MD|Baltimore City|18|-76.677938,39.358354 -76.673157,39.358354 -76.673157,39.344624 -76.677938,39.344624 -76.677938,39.358354
MD|Baltimore City|19|-76.663595,39.358354 -76.663595,39.351489 -76.673157,39.351489 -76.673157,39.358354 -76.663595,39.358354
MD|Baltimore City|20|-76.663595,39.351489 -76.663595,39.344624 -76.673157,39.344624 -76.673157,39.351489 -76.663595,39.351489
MD|Baltimore City|21|-76.702229,39.344624 -76.702229,39.337302 -76.711193,39.337302 -76.711194,39.344624 -76.702229,39.344624
MD|Baltimore City|22|-76.702229,39.337302 -76.702229,39.330169 -76.711493,39.330169 -76.711493,39.335306 -76.711193,39.336406 -76.711193,39.337302 -76.702229,39.337302
MD|Baltimore City|23|-76.688604,39.344624 -76.688604,39.339806 -76.702229,39.339806 -76.702229,39.344624 -76.688604,39.344624
MD|Baltimore City|24|-76.702229,39.339806 -76.695416,39.339806 -76.695416,39.330169 -76.702229,39.330169 -76.702229,39.339806
MD|Baltimore City|25|-76.695416,39.339806 -76.688604,39.339806 -76.688604,39.330169 -76.695416,39.330169 -76.695416,39.339806
MD|Baltimore City|26|-76.702263,39.330169 -76.702263,39.323057 -76.711493,39.323057 -76.711493,39.330169 -76.702263,39.330169
MD|Baltimore City|27|-76.702263,39.323057 -76.702263,39.315751 -76.711111,39.315751 -76.711093,39.319806 -76.711493,39.320806 -76.711493,39.323057 -76.702263,39.323057
MD|Baltimore City|28|-76.688604,39.330169 -76.688604,39.325363 -76.702263,39.325363 -76.702263,39.330169 -76.688604,39.330169
MD|Baltimore City|29|-76.702263,39.325363 -76.695434,39.325363 -76.695434,39.315751 -76.702263,39.315751 -76.702263,39.325363
MD|Baltimore City|30|-76.695434,39.325363 -76.688604,39.325363 -76.688604,39.315751 -76.695434,39.315751 -76.695434,39.325363
